Title,Duration,Video url
Trick Or Treat Theme - Angry Birds Seasons (2010),1:35,https://www.youtube.com/watch?v=pIzdCP4JDpA
Season's Greedings Theme - Angry Birds Seasons (2010),1:34,https://www.youtube.com/watch?v=o967IPIxVEc
Hogs And Kisses Theme - Angry Birds Seasons (2011),1:30,https://www.youtube.com/watch?v=F4gUyo9urOE
"Go Green, Get Lucky Theme - Angry Birds Seasons (2011)",1:18,https://www.youtube.com/watch?v=oG_SjiJZO2U
Easter Eggs Theme - Angry Birds Seasons (2011),1:06,https://www.youtube.com/watch?v=CH97waRbAAM
Summer Pignic Theme - Angry Birds Seasons (2011),1:37,https://www.youtube.com/watch?v=te-YThYeXq4
Moon Festival Theme - Angry Birds Seasons (2011),1:22,https://www.youtube.com/watch?v=7EcyUCLEuwo
Ham'O'Ween Theme - Angry Birds Seasons (2011),1:12,https://www.youtube.com/watch?v=XxfQPwT8VK4
Wreck The Halls Theme - Angry Birds Seasons (2011),1:14,https://www.youtube.com/watch?v=eApLpttkdDU
Year Of The Dragon Theme - Angry Birds Seasons (2012),1:23,https://www.youtube.com/watch?v=zRDTZZbkMH0
Cherry Blossom Theme - Angry Birds Seasons (2012),1:13,https://www.youtube.com/watch?v=gJsXn6ZX7XE
Piglantis Theme (First Version) - Angry Birds Seasons (2012),1:18,https://www.youtube.com/watch?v=WtawEsd10-k
Piglantis Theme (Second Version) - Angry Birds Seasons (2012),1:24,https://www.youtube.com/watch?v=I2tHYVAMmIc
Back To School Theme - Angry Birds Seasons (2012),1:26,https://www.youtube.com/watch?v=NdQFm4Wk4Ao
Haunted Hogs Theme - Angry Birds Seasons (2012),1:03,https://www.youtube.com/watch?v=B9NrSDgqO54
Winter Wonderham Theme - Angry Birds Seasons (2012),1:04,https://www.youtube.com/watch?v=oFCFJ8X4IBs
Abra-Ca-Bacon Theme - Angry Birds Seasons (2013),1:13,https://www.youtube.com/watch?v=f1Gf8oyJfHM
Arctic Eggspedition Theme - Angry Birds Seasons (2013),1:16,https://www.youtube.com/watch?v=H5di1jjbNjI
South Hamerica Theme - Angry Birds Seasons (2014),1:22,https://www.youtube.com/watch?v=xmmn2iw6upc
Ham Dunk Theme - Angry Birds Seasons (2014),1:10,https://www.youtube.com/watch?v=cYU0dMNT28A
On Finn Ice Theme - Angry Birds Seasons (2014),2:45,https://www.youtube.com/watch?v=MM8QWIPNhZA
Tropigal Paradise Theme - Angry Birds Seasons (2015),1:12,https://www.youtube.com/watch?v=DUjCNxmDwPI
Invasion Of The Egg Snatchers Theme - Angry Birds Seasons (2015),1:29,https://www.youtube.com/watch?v=HK4Y2Pvfl0g
Ski or Squeal Theme - Angry Birds Seasons (2015),1:33,https://www.youtube.com/watch?v=d3FwyS2zK-A
Fairy Hogmother - Angry Birds Seasons (2016),1:10,https://www.youtube.com/watch?v=h1CAIowHIQM
Marie Hamtoinette Theme - Angry Birds Seasons (2016),1:27,https://www.youtube.com/watch?v=OJ_8ZIxgJGA
Summer Camp Theme - Angry Birds Seasons (2016),2:28,https://www.youtube.com/watch?v=CNsiWuhuhAQ
Piggywood Studios Theme - Angry Birds Seasons (2016),3:19,https://www.youtube.com/watch?v=HK0ptvCrcOY
Hammier Things Theme - Angry Birds Seasons (2016),0:49,https://www.youtube.com/watch?v=-P7I97rVo04
Ragnahog - Angry Birds Seasons (2016),1:45,https://www.youtube.com/watch?v=f2oxGK8rTFU
