Title,Duration,Video url
Nintendo Intro - Animal Crossing,0:07,https://www.youtube.com/watch?v=moHOKhWrNzo
Title - Animal Crossing,1:30,https://www.youtube.com/watch?v=Q4iI6hGC_lU
K.K. Slider Intro - Animal Crossing,1:37,https://www.youtube.com/watch?v=BFJOa4i7eKo
Train Ride - Animal Crossing,2:23,https://www.youtube.com/watch?v=ROt-VsXusao
Train Ride (with SFX) - Animal Crossing,2:16,https://www.youtube.com/watch?v=iY3AO2wxl7I
Train Arrival - Animal Crossing,1:04,https://www.youtube.com/watch?v=63KnF2YfpSY
Off the Train - Animal Crossing,0:48,https://www.youtube.com/watch?v=Tx1UidKc3Ig
You Need a Place To Stay...  - Animal Crossing,2:16,https://www.youtube.com/watch?v=_ZCEv6eNL6w
It's Settled Then! - Animal Crossing,1:07,https://www.youtube.com/watch?v=kxdCvrjPIJE
Stop By My Shop Soon - Animal Crossing,1:23,https://www.youtube.com/watch?v=YxwsPWLQQlc
Working For Tom Nook - Animal Crossing,1:45,https://www.youtube.com/watch?v=ttRzqM-mTFw
I'm Work Free! - Animal Crossing,0:38,https://www.youtube.com/watch?v=rDDyDdRzUP4
12 AM - Animal Crossing,2:16,https://www.youtube.com/watch?v=oB-n6FO7YZU
1 AM - Animal Crossing,2:25,https://www.youtube.com/watch?v=7eslwuLmJ6U
2 AM - Animal Crossing,3:08,https://www.youtube.com/watch?v=WOO8mBSRkiU
3 AM - Animal Crossing,3:08,https://www.youtube.com/watch?v=wJa_KVYvHFg
4 AM - Animal Crossing,2:27,https://www.youtube.com/watch?v=z4T0kI3hOig
5 AM - Animal Crossing,3:16,https://www.youtube.com/watch?v=0PTNlUP_OiA
6 AM - Animal Crossing,2:56,https://www.youtube.com/watch?v=NE9I56V9Gzg
7 AM - Animal Crossing,2:27,https://www.youtube.com/watch?v=y8JNH8uvaHc
8 AM - Animal Crossing,2:32,https://www.youtube.com/watch?v=ansXNrYVrzM
9 AM - Animal Crossing,2:27,https://www.youtube.com/watch?v=jA2JZ_ga1IY
10 AM - Animal Crossing,2:06,https://www.youtube.com/watch?v=3Nd7jP6H0JQ
11 AM - Animal Crossing,2:32,https://www.youtube.com/watch?v=dWENXw-a99M
12 PM - Animal Crossing,2:03,https://www.youtube.com/watch?v=d1SqbHeCT1Y
1 PM - Animal Crossing,2:36,https://www.youtube.com/watch?v=wch8dFdRWAI
2 PM - Animal Crossing,2:20,https://www.youtube.com/watch?v=Rulv3PZ-nG8
3 PM - Animal Crossing,1:34,https://www.youtube.com/watch?v=OlcwJOxByLo
4 PM - Animal Crossing,2:20,https://www.youtube.com/watch?v=ZMwFwB1P890
5 PM - Animal Crossing,2:25,https://www.youtube.com/watch?v=nVHFzblw_pU
6 PM - Animal Crossing,2:24,https://www.youtube.com/watch?v=Qm0uDFgtKF4
7 PM - Animal Crossing,2:16,https://www.youtube.com/watch?v=V7vaxl_ZzeE
8 PM - Animal Crossing,2:10,https://www.youtube.com/watch?v=1COArN5NRho
9 PM - Animal Crossing,2:44,https://www.youtube.com/watch?v=9dHGxibXN5s
10 PM - Animal Crossing,1:52,https://www.youtube.com/watch?v=X8OqPMPvNmY
11 PM - Animal Crossing,1:30,https://www.youtube.com/watch?v=6D8wVbLUkNk
Nook's Cranny - Animal Crossing,1:05,https://www.youtube.com/watch?v=iOCPTtEwU6Q
Nook 'n' Go - Animal Crossing,2:12,https://www.youtube.com/watch?v=xpTZoar3DLk
Nookway - Animal Crossing,1:54,https://www.youtube.com/watch?v=a9T3etzqxC8
Nookington's - Animal Crossing,2:05,https://www.youtube.com/watch?v=rOLzQWqeBrE
Nookington's (Closing Time) - Animal Crossing,1:24,https://www.youtube.com/watch?v=0liDMVKCfb0
Look What I Found! - Animal Crossing,0:29,https://www.youtube.com/watch?v=gnQzJZBlVKw
Rainy Day - Animal Crossing,1:49,https://www.youtube.com/watch?v=9HG0PNJ_WZo
Rainy Day (with SFX) - Animal Crossing,1:44,https://www.youtube.com/watch?v=cOu1ooLChvc
Bees! - Animal Crossing,0:39,https://www.youtube.com/watch?v=X6vXIcEXYFo
Got Stung! - Animal Crossing,0:30,https://www.youtube.com/watch?v=8ZVMHj_uUZs
My Axe Broke! - Animal Crossing,0:28,https://www.youtube.com/watch?v=ubaxXiXw67w
"Save, Please Enter The House - Animal Crossing",0:08,https://www.youtube.com/watch?v=8PVEXZFMaFk
Finished Already? - Animal Crossing,1:29,https://www.youtube.com/watch?v=rhsSVD_keZo
Load Your Game - Animal Crossing,1:36,https://www.youtube.com/watch?v=TEqapk2TEF0
Post Office - Nice Postmaster (Pelly) - Animal Crossing,2:15,https://www.youtube.com/watch?v=kwE3zmQyY6Q
Post Office - Rude Postmaster (Phyllis) - Animal Crossing,2:31,https://www.youtube.com/watch?v=KyaglsVWPIg
Default Town Tune - Animal Crossing,0:05,https://www.youtube.com/watch?v=9NUdjb4xu6U
Police Station - Animal Crossing,1:13,https://www.youtube.com/watch?v=SGTqwl5miKc
Museum - Animal Crossing,1:13,https://www.youtube.com/watch?v=ri7wauTmUS0
Museum (Bug Exhibit) - Animal Crossing,1:13,https://www.youtube.com/watch?v=vEN5938YpjE
Museum (Art Exhibit) - Animal Crossing,1:13,https://www.youtube.com/watch?v=UBy8kN84K8k
Museum (Fossil Exhibit) - Animal Crossing,1:13,https://www.youtube.com/watch?v=QBbBQVD1CJY
Museum (Fish Exhibit) - Animal Crossing,1:13,https://www.youtube.com/watch?v=jj7VbUlNhI0
Able Sisters - Animal Crossing,2:13,https://www.youtube.com/watch?v=Q6W7QMM3iWk
Able Sisters (with SFX) - Animal Crossing,2:14,https://www.youtube.com/watch?v=-ivYQXofKd4
Pattern Tool Editor - Animal Crossing,1:38,https://www.youtube.com/watch?v=z6_LiKUPnHI
Katrina's Tent - Animal Crossing,0:46,https://www.youtube.com/watch?v=OYSCc0TMjrk
Crazy Redd's Tent - Animal Crossing,1:02,https://www.youtube.com/watch?v=qHd4Q0SkulM
Summer Camper - Animal Crossing,2:20,https://www.youtube.com/watch?v=FcmH3K34zNo
Igloo - Animal Crosing,1:00,https://www.youtube.com/watch?v=dgQuBZXTzxY
Leaving Town - Animal Crossing,0:43,https://www.youtube.com/watch?v=i2u1BObxkoc
Board The Train - Animal Crossing,0:30,https://www.youtube.com/watch?v=1DLfq8h7ihI
Mr. Resetti - Animal Crossing,0:42,https://www.youtube.com/watch?v=cxXb4aey-5w
Don Resetti - Animal Crossing,0:49,https://www.youtube.com/watch?v=mccNFkFXWqw
I'm Debt Free! - Animal Crossing,0:41,https://www.youtube.com/watch?v=P6qf_yGTH68
Animal Island - Animal Crossing,2:26,https://www.youtube.com/watch?v=F_vuXup7wec
Animal Island (with SFX) - Animal Crossing,2:25,https://www.youtube.com/watch?v=3ZkL5Ro_5e4
Animal Island GBA Link Title - Animal Crossing,0:59,https://www.youtube.com/watch?v=2C92nSjAZ_k
Animal Island GBA Link - Animal Crossing,2:07,https://www.youtube.com/watch?v=jQGWF_FNjpU
Achievement 1 - Animal Crossing,0:37,https://www.youtube.com/watch?v=KWdVqqq_Rog
Achievement 2 - Animal Crossing,0:36,https://www.youtube.com/watch?v=AkJyfugGgac
12 AM (Cherry Blossom) - Animal Crossing,2:16,https://www.youtube.com/watch?v=_exmxtOj628
1 AM (Cherry Blossom) - Animal Crossing,2:25,https://www.youtube.com/watch?v=Va1PIKq-wjM
2 AM (Cherry Blossom) - Animal Crossing,3:08,https://www.youtube.com/watch?v=hcB4u-ifBjM
3 AM (Cherry Blossom) - Animal Crossing,3:08,https://www.youtube.com/watch?v=6qCnBV_y1k0
4 AM (Cherry Blossom) - Animal Crossing,2:27,https://www.youtube.com/watch?v=6ZIOIxpIXqA
5 AM (Cherry Blossom) - Animal Crossing,3:16,https://www.youtube.com/watch?v=iaZMYbKxZfw
6 AM (Cherry Blossom) - Animal Crossing,2:56,https://www.youtube.com/watch?v=vIPYQ8Qb78o
7 AM (Cherry Blossom) - Animal Crossing,2:27,https://www.youtube.com/watch?v=1uvXuRJXeuo
8 AM (Cherry Blossom) - Animal Crossing,2:32,https://www.youtube.com/watch?v=zVeNLLm9qqk
9 AM (Cherry Blossom) - Animal Crossing,2:27,https://www.youtube.com/watch?v=NpDAl8VHOkU
10 AM (Cherry Blossom) - Animal Crossing,2:06,https://www.youtube.com/watch?v=Wt-EXnbmSH8
11 AM (Cherry Blossom) - Animal Crossing,2:32,https://www.youtube.com/watch?v=iN4zU2lpVkI
12 PM (Cherry Blossom) - Animal Crossing,2:03,https://www.youtube.com/watch?v=jX89XRBsV_g
1 PM (Cherry Blossom) - Animal Crossing,2:36,https://www.youtube.com/watch?v=Nx2_DBt36kk
2 PM (Cherry Blossom) - Animal Crossing,2:20,https://www.youtube.com/watch?v=ZxzyczZ8aH8
3 PM (Cherry Blossom) - Animal Crossing,1:34,https://www.youtube.com/watch?v=d3IzpWa-008
4 PM (Cherry Blossom) - Animal Crossing,2:20,https://www.youtube.com/watch?v=VEcs2EH8h7c
5 PM (Cherry Blossom) - Animal Crossing,2:25,https://www.youtube.com/watch?v=H1KbwjdZLUI
6 PM (Cherry Blossom) - Animal Crossing,2:24,https://www.youtube.com/watch?v=dsBIMCMWByw
7 PM (Cherry Blossom) - Animal Crossing,2:16,https://www.youtube.com/watch?v=nBmB2EiVh4g
8 PM (Cherry Blossom) - Animal Crossing,2:10,https://www.youtube.com/watch?v=Acnl_pKLvDk
9 PM (Cherry Blossom) - Animal Crossing,2:44,https://www.youtube.com/watch?v=6Pb-KNZIeUA
10 PM (Cherry Blossom) - Animal Crossing,1:52,https://www.youtube.com/watch?v=IFcMxeaQcIo
11 PM (Cherry Blossom) - Animal Crossing,1:30,https://www.youtube.com/watch?v=bJm8t28etc8
Happy New Year! - Animal Crossing,3:42,https://www.youtube.com/watch?v=gCmLs5ciKAA
New Year's Party - Animal Crossing,3:30,https://www.youtube.com/watch?v=9n_K7zWleyI
"New Year's, Not at Party - Animal Crossing",2:27,https://www.youtube.com/watch?v=c_Ap9T-89Vc
New Year's Wish - Animal Crossing,3:01,https://www.youtube.com/watch?v=85J0tY6clsw
New Year's Day - Animal Crossing,5:05,https://www.youtube.com/watch?v=PboXcztFkzQ
New Year's Night - Animal Crossing,4:58,https://www.youtube.com/watch?v=iQ_Wp6dGchk
Groundhog Day - Animal Crossing,3:11,https://www.youtube.com/watch?v=wNi0m_yZ1Fw
Aerobic Exercises - Animal Crossing,1:39,https://www.youtube.com/watch?v=8T1pXXmr4gc
Foot Race - Animal Crossing,1:24,https://www.youtube.com/watch?v=gHE6mqy_uQk
Ball Toss - Animal Crossing,2:56,https://www.youtube.com/watch?v=5OMGOi-4veo
Tug-O-War - Animal Crossing,2:27,https://www.youtube.com/watch?v=zbKWt99k-yM
Cherry Blossom Festival - Animal Crossing,2:08,https://www.youtube.com/watch?v=n4d1rDmJfTY
Fireworks Festival - Animal Crossing,3:32,https://www.youtube.com/watch?v=R-EKUWwGxxE
Moon Viewing - Animal Crossing,2:46,https://www.youtube.com/watch?v=-MDfDw8kj34
Halloween - Animal Crossing,2:40,https://www.youtube.com/watch?v=IzVwamMd9V4
Harvest Festival - Animal Crossing,2:14,https://www.youtube.com/watch?v=LieG4yjhC9Y
Christmas Eve - Animal Crossing,3:30,https://www.youtube.com/watch?v=iB8NAHEQJmA
New Year's Countdown (1 Hour) - Animal Crossing,2:45,https://www.youtube.com/watch?v=XnobXDUh7Qg
New Year's Countdown (30 Minutes) - Animal Crossing,2:49,https://www.youtube.com/watch?v=nmh8TSmbacI
New Year's Countdown (10 Minutes) - Animal Crossing,4:29,https://www.youtube.com/watch?v=td9lK7v7Vl4
New Year's Countdown (5 Minutes) - Animal Crossing,4:46,https://www.youtube.com/watch?v=7w_Ttonjfy8
12 AM (Snow) - Animal Crossing,2:16,https://www.youtube.com/watch?v=IGc7f3q3H0s
1 AM (Snow) - Animal Crossing,2:25,https://www.youtube.com/watch?v=BJ2zuHnO6fc
2 AM (Snow) - Animal Crossing,3:08,https://www.youtube.com/watch?v=Xv2ZUcEGF3o
3 AM (Snow) - Animal Crossing,3:08,https://www.youtube.com/watch?v=aw2Q3-Q_pyw
4 AM (Snow) - Animal Crossing,2:27,https://www.youtube.com/watch?v=1z5czCCwxb4
5 AM (Snow) - Animal Crossing,3:16,https://www.youtube.com/watch?v=KLOJ8dwqjR8
6 AM (Snow) - Animal Crossing,2:56,https://www.youtube.com/watch?v=WSluugQ7G2E
7 AM (Snow) - Animal Crossing,2:27,https://www.youtube.com/watch?v=ehUYl8Buwbc
8 AM (Snow) - Animal Crossing,2:32,https://www.youtube.com/watch?v=_V7k_4_Vjs8
9 AM (Snow) - Animal Crossing,2:27,https://www.youtube.com/watch?v=0k6B4AxYoW4
10 AM (Snow) - Animal Crossing,2:06,https://www.youtube.com/watch?v=PptNdkpnztc
11 AM (Snow) - Animal Crossing,2:32,https://www.youtube.com/watch?v=9kGvomMIHPg
12 PM (Snow) - Animal Crossing,2:03,https://www.youtube.com/watch?v=mK1ds9LgbRQ
1 PM (Snow) - Animal Crossing,2:36,https://www.youtube.com/watch?v=gbFUnWUpWBg
