Title,Duration,Video url
"(Combat Theme, Act II) Disquieting Darkness ",1:12,https://www.youtube.com/watch?v=gaOVWJ0-k9A
Quivers of Dusk ,6:42,https://www.youtube.com/watch?v=XPIyBjb-ySg
Protector's Oath (Ketheric Thorm's Theme) ,7:32,https://www.youtube.com/watch?v=vm97as7v-KQ
Symptoms of Ceremorphosis ,3:20,https://www.youtube.com/watch?v=2q2Gs2K8vNM
Waltz of Respite ,0:35,https://www.youtube.com/watch?v=RtNfWaCyOb0
Twisted Force (Light Version) ,1:59,https://www.youtube.com/watch?v=mSSfMlpfsRQ
Zhentarim Hideout ,2:05,https://www.youtube.com/watch?v=SNcRmRRrTYk
Grymforge ,5:01,https://www.youtube.com/watch?v=lKab-J9Js9k
"Shadow-Cursed Lands Battle (Variation, Enemy Down) (Unconfirmed) ",1:29,https://www.youtube.com/watch?v=zvt1vRqYg5o
Help us name this Song 10 ,0:43,https://www.youtube.com/watch?v=fB0MsPx9kss
Mindflayer Theme (Variation) ,0:49,https://www.youtube.com/watch?v=iI7PaczegdE
Horizon Chase ,1:04,https://www.youtube.com/watch?v=7mgkPaQgb7I
Mind Flayer's Theme ,5:53,https://www.youtube.com/watch?v=8ikY7WGJC8w
Adamantine Forge/Grymforge ,6:18,https://www.youtube.com/watch?v=p-wochqBIwI
Unused Underdark Theme 2 ,1:07,https://www.youtube.com/watch?v=xEDEt5D8IuQ
Unused Underdark Theme 1 ,2:32,https://www.youtube.com/watch?v=6vZ0JKeaZZQ
Hag's Battle (Ethel's Lair) ,1:27,https://www.youtube.com/watch?v=hbhHw9raBrc
Astral Flight ,5:15,https://www.youtube.com/watch?v=QcnedGewNLM
Help us name this Song 19 ,2:32,https://www.youtube.com/watch?v=krgqxDTTgmY
Selune's Underdark Outpost ,3:25,https://www.youtube.com/watch?v=sl0ZQC8b-qg
The Grove Protected ,1:41,https://www.youtube.com/watch?v=ZgyvqX9kQ4k
Quest for a Cure ,1:15,https://www.youtube.com/watch?v=bN-XST5MPI8
Legacy of Bhaal ,1:52,https://www.youtube.com/watch?v=ELNUxpoW6yg
Overworld (Act I) ,1:08,https://www.youtube.com/watch?v=VXlE5wLvkTM
Help us name this Song 25 ,0:50,https://www.youtube.com/watch?v=OIw86KZj4vo
The Power (Organ Version) ,1:57,https://www.youtube.com/watch?v=vfBl8BeCHJc
Shadow-Cursed Lands (Version 2) ,5:58,https://www.youtube.com/watch?v=HRIxYWRcmAI
The Undercity (Moonrise Towers) ,2:55,https://www.youtube.com/watch?v=II2pnodSZtM
Nautiloid Crash ,1:19,https://www.youtube.com/watch?v=YBTqQira_JA
Help us name this Song 30 ,4:02,https://www.youtube.com/watch?v=iejQWas1fIU
Help us name this Song 31 ,1:43,https://www.youtube.com/watch?v=6jKet7jTpCc
Exotic Merchant ,0:38,https://www.youtube.com/watch?v=CjkRyGi-oAc
Astarion Questline (Ending) ,2:35,https://www.youtube.com/watch?v=l3-AQS5nYpA
I Want To Live (Cinematic Version) ,1:59,https://www.youtube.com/watch?v=2XmUYcrA6qA
Old Time Battles (Lute) ,2:06,https://www.youtube.com/watch?v=gEaJRYDrqBA
Adamantine Forge ,3:34,https://www.youtube.com/watch?v=_4GpOVE2iQM
The Legacy of Bhaal (Calmer Version) (Around Murder Tribunal) ,5:30,https://www.youtube.com/watch?v=K3DSJtCDDvU
Wilderness Crashsite ,3:00,https://www.youtube.com/watch?v=c0Inw0GYCiM
Divinity Original Sin 2 Main Theme (Violin Version) ,3:32,https://www.youtube.com/watch?v=p1m75urdQUA
Goblin Camp ,1:50,https://www.youtube.com/watch?v=JyKFgTYA6Gs
Last Light Inn (Cursed) ,2:24,https://www.youtube.com/watch?v=vuzDvU24LWk
Vlaakith’s Ultimatum ,0:57,https://www.youtube.com/watch?v=U1QWenLENl8
Memories of the Future (Harpy's Nest) ,1:01,https://www.youtube.com/watch?v=2yFncprKRaE
Old Time Battles (Violin) ,2:06,https://www.youtube.com/watch?v=GM78kjIoNzw
Finding a Healer ,3:00,https://www.youtube.com/watch?v=YxgiDbVqb_I
"Warping Shadows, Dead Harpers, Umbramorphosis, The Surrounding Dark ",0:56,https://www.youtube.com/watch?v=6AhJopLy_as
Myconid Colony (Variation) ,4:07,https://www.youtube.com/watch?v=Yfvpq2QJdes
Goblin Combat (Variation) ,2:44,https://www.youtube.com/watch?v=4ntkLMva0Gk
Myconid Life-Chanter ,2:30,https://www.youtube.com/watch?v=oEjhuzsf_Rw
Help us name this Song 50 ,0:33,https://www.youtube.com/watch?v=jpNn_HtfnBg
Shadow's Gaze ,2:57,https://www.youtube.com/watch?v=DoqXY95kGdk
House of Healing ,4:07,https://www.youtube.com/watch?v=fd0IrRZiIr0
Crèche Y'llek ,5:55,https://www.youtube.com/watch?v=3stmKikXDKk
I Want to Live (Orchestral Version) ,1:51,https://www.youtube.com/watch?v=Tu28bLsBwNs
The Hag's Kiss ,2:19,https://www.youtube.com/watch?v=gTUb_Mtmbi8
Myconid Colony ,3:00,https://www.youtube.com/watch?v=4vXC8NQKAHM
Underdark & Moonrise Tower Camp ,0:19,https://www.youtube.com/watch?v=pkI3UhUtLSw
Goblin Battle Theme (Ally Down Version) ,3:20,https://www.youtube.com/watch?v=WQ84Dt5M0j0
Moonlit Strife ,5:55,https://www.youtube.com/watch?v=QpRSAKmfGTw
Death of the Netherbrain ,1:10,https://www.youtube.com/watch?v=9ntyGREHYHE
Help us name this Song 61 ,0:47,https://www.youtube.com/watch?v=nG9l4WgN3Ic
House of Hope (Encountering Haarlep) ,6:03,https://www.youtube.com/watch?v=qFRWwM6dBgk
