Title,Duration,Video url
 Doki Doki Literature Club! (Main Theme),2:08,https://www.youtube.com/watch?v=BFSWlDpA6C4
 Ohayou Sayori!,2:43,https://www.youtube.com/watch?v=BUWuDdfe7v4
 Dreams Of Love and Literature,4:10,https://www.youtube.com/watch?v=rsBeCQA93-Q
" Okay, Everyone!",3:05,https://www.youtube.com/watch?v=Hh2e9_bGSys
 Play With Me,2:54,https://www.youtube.com/watch?v=BUKN_ySpqU4
 Poem Panic!,2:29,https://www.youtube.com/watch?v=7JDlEpvE-cs
 Daijoubu!,3:06,https://www.youtube.com/watch?v=FDG1AUN53S8
 My Feelings,2:04,https://www.youtube.com/watch?v=IgRUaVHq1Hs
 My Confession,3:07,https://www.youtube.com/watch?v=GAhiW1Z3GJY
 Sayo-nara,2:38,https://www.youtube.com/watch?v=al1BNB8bKaE
 Just Monika.,3:23,https://www.youtube.com/watch?v=JC0mFHN7r2c
 I Still Love You,2:44,https://www.youtube.com/watch?v=QIHUK68L9qQ
 Your Reality (Credits),3:02,https://www.youtube.com/watch?v=CAL4WMpBNs0
 Poems Are Forever (Bonus Track by shoji),3:42,https://www.youtube.com/watch?v=Tb9nWs3rkBA
「Doki Doki ドキドキ」,3:43,https://www.youtube.com/watch?v=jJHe4i90Ua0
" My Song, Your Note",2:43,https://www.youtube.com/watch?v=fGSBPlrot3A
 Peachy Pie,2:10,https://www.youtube.com/watch?v=hLvFuROQ7fg
 Strawberry Peppermint,3:10,https://www.youtube.com/watch?v=aBq1NjVXR2M
 Lavender Mist,2:41,https://www.youtube.com/watch?v=wRtvqVhix-w
 Just a Little Bit,2:29,https://www.youtube.com/watch?v=u3WvV7emy6U
 Let's Teamwork!,1:59,https://www.youtube.com/watch?v=V-gJhqiTnMA
 Dusk,1:42,https://www.youtube.com/watch?v=OxjaCqp_Xjc
 Piece by Piece,2:22,https://www.youtube.com/watch?v=ss0XPtKeeZ8
 Hug Energy,3:07,https://www.youtube.com/watch?v=Cwe0etoPmMc
 Stories of Friendship and Literature,2:35,https://www.youtube.com/watch?v=dLYMNGpcMXA
 Dear Sunshine (feat. Azuria Sky),3:56,https://www.youtube.com/watch?v=B-90bmuowVU
 Candy Hearts (feat. Jason Hayes),2:56,https://www.youtube.com/watch?v=ksFc-dUyiVg
 Candy Heartz (feat. Jason Hayes) (Version 1),1:08,https://www.youtube.com/watch?v=e9b4B5k-VKI
 Candy Heartz (feat. Jason Hayes) (Version 2),1:01,https://www.youtube.com/watch?v=Bw13XNLyLBY
" My Song, Your Note (Piano)",1:34,https://www.youtube.com/watch?v=bDottC06gfE
