Title,Duration,Video url
ANOTHER HIM,0:48,https://www.youtube.com/watch?v=XEdoMoV4D6k
Beginning,0:58,https://www.youtube.com/watch?v=NlrYJXWF-yQ
School,1:20,https://www.youtube.com/watch?v=xbUi1uDwPAY
Susie,0:28,https://www.youtube.com/watch?v=C3klVnJpCFY
The Door,0:42,https://www.youtube.com/watch?v=iJtIX0sQn0o
Cliffs,0:36,https://www.youtube.com/watch?v=5xmcQqEj3G4
The Chase,0:34,https://www.youtube.com/watch?v=hWWVWfQW1H4
The Legend,1:52,https://www.youtube.com/watch?v=PibYmujLubI
Lancer,0:48,https://www.youtube.com/watch?v=GAhBQH0Kf1I
Rude Buster,1:16,https://www.youtube.com/watch?v=GPL5Hkl11IQ
Empty Town,1:24,https://www.youtube.com/watch?v=p8jCS2nSMmI
Weird Birds,0:17,https://www.youtube.com/watch?v=YPLn6R2T5Qw
Field of Hopes and Dreams,2:42,https://www.youtube.com/watch?v=ymNgfwgh1TU
"Fanfare (from ""Rose of Winter"")",0:16,https://www.youtube.com/watch?v=OmMdXpuscRY
Lantern,1:09,https://www.youtube.com/watch?v=5kJ4JJSsJMQ
I'm Very Bad,0:14,https://www.youtube.com/watch?v=_km4FuXOCbs
Checker Dance,1:18,https://www.youtube.com/watch?v=j54JPLQWdyQ
Quiet Autumn,0:50,https://www.youtube.com/watch?v=SWAQzCNeGWg
Scarlet Forest,2:08,https://www.youtube.com/watch?v=h2B5F8skpGE
Thrash Machine,0:55,https://www.youtube.com/watch?v=imH2hItIFlk
Vs. Lancer,0:43,https://www.youtube.com/watch?v=Ce-gU8G6Vik
Basement,0:28,https://www.youtube.com/watch?v=Cnrvt1h5La4
Imminent Death,0:20,https://www.youtube.com/watch?v=Ud9mGWvkjJQ
Vs. Susie,1:22,https://www.youtube.com/watch?v=cGuDpoJNImA
Card Castle,1:02,https://www.youtube.com/watch?v=tvjuTn9LZwY
Rouxls Kaard,0:20,https://www.youtube.com/watch?v=yfC8OU2YtNo
April 2012,0:21,https://www.youtube.com/watch?v=KWed1KcG-GA
Hip Shop,0:40,https://www.youtube.com/watch?v=D83BxptHcRc
Gallery,0:13,https://www.youtube.com/watch?v=L0MAep7ml3A
Chaos King,1:47,https://www.youtube.com/watch?v=tPwzoZ-e664
Darkness Falls,1:07,https://www.youtube.com/watch?v=snyWVFZBFBM
The Circus,0:52,https://www.youtube.com/watch?v=qCNztya--aw
THE WORLD REVOLVING,1:42,https://www.youtube.com/watch?v=Z01Tsgwe2dQ
Friendship,2:41,https://www.youtube.com/watch?v=RQQ14PKhcs8
THE HOLY,0:48,https://www.youtube.com/watch?v=8-n6HhNO57E
Your Power,0:14,https://www.youtube.com/watch?v=YeU41eDS90A
A Town Called Hometown,1:54,https://www.youtube.com/watch?v=bYORCOOYc00
You Can Always Come Home,1:41,https://www.youtube.com/watch?v=ntHQOPH7CaU
Don't Forget,0:52,https://www.youtube.com/watch?v=YLeid-bIRQA
Before the Story,1:29,https://www.youtube.com/watch?v=_0pFoKrY5TU
Faint Glow,1:18,https://www.youtube.com/watch?v=16A13R7T0rM
Girl Next Door,0:55,https://www.youtube.com/watch?v=T6UfG77Bwpo
My Castle Town,2:08,https://www.youtube.com/watch?v=Bl-YMD6yePc
Ohhhhohohoho!,0:10,https://www.youtube.com/watch?v=_xsaAydYPIM
Queen,0:57,https://www.youtube.com/watch?v=6XQv5CHmITA
A CYBER'S WORLD?,2:47,https://www.youtube.com/watch?v=In3y0C7mQvA
A Simple Diversion,0:32,https://www.youtube.com/watch?v=p1U5FjgwDhA
Almost to the Guys!,0:18,https://www.youtube.com/watch?v=TBrbkS3hDn4
Cool Beat,0:18,https://www.youtube.com/watch?v=mem2LEtRj40
When I Get Mad I Dance Like This,0:11,https://www.youtube.com/watch?v=XH1ibcc_MpQ
Cyber Battle (Solo),1:48,https://www.youtube.com/watch?v=10yw5Q0mPPw
When I Get Happy I Dance Like This,0:20,https://www.youtube.com/watch?v=bTwrnu_TFEA
Sound Studio,1:09,https://www.youtube.com/watch?v=v4Xc64X6Npo
Berdly,0:47,https://www.youtube.com/watch?v=2S8I1h-wNzc
Smart Race,1:07,https://www.youtube.com/watch?v=HZO3xw91eHw
Faint Courage (Game Over),0:53,https://www.youtube.com/watch?v=TkvdhHEuCNY
WELCOME TO THE CITY,1:55,https://www.youtube.com/watch?v=uiou1f5nzlU
Mini Studio,0:52,https://www.youtube.com/watch?v=OEaRlIfkURI
Holiday Studio,1:09,https://www.youtube.com/watch?v=7SAJNfCkg7U
Cool Mixtape,0:27,https://www.youtube.com/watch?v=EeVEyBGPgLY
HEY EVERY !,0:19,https://www.youtube.com/watch?v=DZKnVQL3r2I
Spamton,0:43,https://www.youtube.com/watch?v=cSm5gKlmw2M
NOW'S YOUR CHANCE TO BE A,1:08,https://www.youtube.com/watch?v=2GbBD_7AsGA
Elegant Entrance,1:18,https://www.youtube.com/watch?v=j6baKyF2Ksc
Bluebird of Misfortune,0:50,https://www.youtube.com/watch?v=yud5H-vnbJw
Pandora Palace,1:40,https://www.youtube.com/watch?v=q-5cXVcCOUs
KEYGEN,0:16,https://www.youtube.com/watch?v=-9UUuxhh4Ao
Acid Tunnel of Love,1:31,https://www.youtube.com/watch?v=McOfpEEXnq0
"It's Pronounced ""Rules""",1:02,https://www.youtube.com/watch?v=DQ0aryDlPi4
Lost Girl,1:20,https://www.youtube.com/watch?v=P89rxnT7lKw
Ferris Wheel,1:20,https://www.youtube.com/watch?v=PcfyVaTUops
Attack of the Killer Queen,2:00,https://www.youtube.com/watch?v=vBjscyFC3jo
Giga Size,1:48,https://www.youtube.com/watch?v=_bVl2e-Wxzg
Powers Combined,0:17,https://www.youtube.com/watch?v=iAxDtmz0ehs
Knock You Down !!,2:27,https://www.youtube.com/watch?v=e4EZa--N028
The Dark Truth,1:12,https://www.youtube.com/watch?v=o3UNWAT81f0
