Title,Duration,Video url
Menu ,2:24,https://www.youtube.com/watch?v=avwcauF7GOc
By Three They Come ,1:59,https://www.youtube.com/watch?v=JRHvq50fwCM
Nevesk ,5:03,https://www.youtube.com/watch?v=MobPx21MZs8
Kyovashad ,4:15,https://www.youtube.com/watch?v=AhI_eXDLhbY
Cathedral ,1:56,https://www.youtube.com/watch?v=lW4fGQ0u8LM
Olyam Tundra ,4:15,https://www.youtube.com/watch?v=zkQDtYfJDrg
Gale Valley ,3:25,https://www.youtube.com/watch?v=ybLDocW91q8
Yelesna ,3:49,https://www.youtube.com/watch?v=wIFVBS9yPbE
Neyrelle ,1:36,https://www.youtube.com/watch?v=XT_jIN7PGH4
Dobrev Taiga ,3:38,https://www.youtube.com/watch?v=lJXSNp862TM
Nostrava ,3:13,https://www.youtube.com/watch?v=OS1EVhh0VDA
Menestad ,2:57,https://www.youtube.com/watch?v=wNMWPXbUbF8
Eldhaime Keep ,4:17,https://www.youtube.com/watch?v=rgPL85tT85k
Firebreak Manor ,3:32,https://www.youtube.com/watch?v=Ms3gyZ78Q38
Cerrigar ,3:30,https://www.youtube.com/watch?v=MlcRixp6aSc
Dead Forest ,3:11,https://www.youtube.com/watch?v=E6f35_Si4Fw
Umbralwood ,5:15,https://www.youtube.com/watch?v=1014tfyO9R0
Highlands ,4:30,https://www.youtube.com/watch?v=TkG-_63SAok
Tur Dulra ,3:01,https://www.youtube.com/watch?v=rXUTR-2ELl8
As the World Burns ,2:19,https://www.youtube.com/watch?v=DSSZWK8pUbk
Ked Bardu ,2:33,https://www.youtube.com/watch?v=6lN4yjifo2k
Olzei Bluffs ,3:31,https://www.youtube.com/watch?v=g6A_RHRAcrQ
Jirandai ,6:02,https://www.youtube.com/watch?v=B5i4v8JwfJ0
Anguish Incarnate ,2:12,https://www.youtube.com/watch?v=yKKNFSpfUok
Umir Plateau ,3:13,https://www.youtube.com/watch?v=veiaE8_6q0Q
Zarbinzet ,2:43,https://www.youtube.com/watch?v=MQBlfmjbXBg
Wetland ,3:35,https://www.youtube.com/watch?v=3qoCkgjstDw
Marsh ,3:19,https://www.youtube.com/watch?v=8hG_6GbTVG4
Tree of Whispers ,3:00,https://www.youtube.com/watch?v=HXM6nsrqwwE
Fens ,3:38,https://www.youtube.com/watch?v=CUE2ZbDIrJ8
The Rustwash ,3:07,https://www.youtube.com/watch?v=XqIRk5FEWcI
The Cinder Wastes ,4:15,https://www.youtube.com/watch?v=lvADoJoeMNo
High Desert ,2:57,https://www.youtube.com/watch?v=N7nQwG4bRyY
Tarsarak ,2:19,https://www.youtube.com/watch?v=DFlps2SXzqI
Badlands ,3:05,https://www.youtube.com/watch?v=lnCq6h_3d08
Low Desert ,3:22,https://www.youtube.com/watch?v=QZZAi2zZwM4
Gea Kul ,3:44,https://www.youtube.com/watch?v=bk4dgx34hTA
Oasis ,4:23,https://www.youtube.com/watch?v=P3nVOosX-w0
Descent ,7:07,https://www.youtube.com/watch?v=_H8eIJOppKM
Imminent Ruination ,1:00,https://www.youtube.com/watch?v=GrhlNLNmS80
Hell ,3:06,https://www.youtube.com/watch?v=CDRayNMY5M0
Ashava ,5:59,https://www.youtube.com/watch?v=8V5Mw3edoVk
Mother of Sanctuary ,2:47,https://www.youtube.com/watch?v=deL5zvwyM_8
Daughter of Hatred ,5:18,https://www.youtube.com/watch?v=SC7NO1ISM90
Promises ,1:46,https://www.youtube.com/watch?v=iXY_rBFwp00
Legacy of the Horadrim ,6:41,https://www.youtube.com/watch?v=hUR-gERUOCw
Confrontation ,4:49,https://www.youtube.com/watch?v=6M1aRKdRrWM
