Title,Duration,Video url
 Prelude ,0:47,https://www.youtube.com/watch?v=a05NiB8nUiU
 Da Banana Bunch ,3:41,https://www.youtube.com/watch?v=k-2NTjnd8i4
 Main Menu ,2:34,https://www.youtube.com/watch?v=rWZ9xwK5gsk
 Prologue ,4:59,https://www.youtube.com/watch?v=hevLvsuEgxU
 DK’s Treehouse ,3:01,https://www.youtube.com/watch?v=PRx1hNs0z20
 Welcome to Bonus Stage ,0:42,https://www.youtube.com/watch?v=q4H3Hjb8aOQ
 Bonus Barrel Challenge ,1:08,https://www.youtube.com/watch?v=yDPhoCipD0s
 Success! ,0:10,https://www.youtube.com/watch?v=pfj79MiL_Sk
 Failure… ,0:10,https://www.youtube.com/watch?v=H-tsTO24hWU
 The Mad Scientist (Cranky’s Theme) ,2:24,https://www.youtube.com/watch?v=smrlRi-6A2c
 Cranky’s Potion (New Ability) ,0:46,https://www.youtube.com/watch?v=dqQAS-py9FA
 DK Isle ,4:00,https://www.youtube.com/watch?v=ACVOvbGX26s
 Tag Barrel - Donkey Kong ,1:11,https://www.youtube.com/watch?v=pVSLl3um4iM
 Clumsy K. Lumsy ,4:26,https://www.youtube.com/watch?v=WuzX33QUbJE
 Happy K. Lumsy ,0:46,https://www.youtube.com/watch?v=6nv92lxf4xU
 Find Golden Banana ,0:11,https://www.youtube.com/watch?v=uP0_P3qOGqo
 Collect Golden Banana ,0:11,https://www.youtube.com/watch?v=Ll2ZOUrOliM
 DK Isle - Jungle Japes ,2:24,https://www.youtube.com/watch?v=IvKABPym2ZI
 Wrinkly’s Theme ,1:44,https://www.youtube.com/watch?v=jWte8AZ9Kyc
 Jungle Madness (Jungle Japes) ,4:21,https://www.youtube.com/watch?v=2_Jl3F2e4B0
 Jungle Japes - Caves ,6:11,https://www.youtube.com/watch?v=9aClNgnvLig
 Jungle Japes - Mountain ,4:39,https://www.youtube.com/watch?v=BkrTUw_mdQs
 Badaboom! (Funky’s Theme) ,2:44,https://www.youtube.com/watch?v=Q4WtonBYOWs
 Weapon Upgrade ,0:09,https://www.youtube.com/watch?v=ZR2uw6jCHjE
 Tag Barrel - Diddy Kong ,1:11,https://www.youtube.com/watch?v=q-iIcN9q1T4
 Jungle Japes - Storm ,2:28,https://www.youtube.com/watch?v=Q9OkrMrmMio
 Rambi’s Theme ,1:51,https://www.youtube.com/watch?v=4HsV64AeyqU
 Jungle Japes - Barrel Course ,2:59,https://www.youtube.com/watch?v=kVQp38l3t5A
 Barrel Course Completed ,0:10,https://www.youtube.com/watch?v=Ix8urT6uMqw
 Jungle Japes - Underground ,3:55,https://www.youtube.com/watch?v=JNWXbnSiYMs
 Jungle Japes - Mine Cart ,3:47,https://www.youtube.com/watch?v=5v6BbgCZ_Ik
 Troff ‘N’ Scoff ,2:50,https://www.youtube.com/watch?v=eiZc6VLC5FI
 Boss Door Unlocked ,0:20,https://www.youtube.com/watch?v=5NinEJIoa_U
 Troff ‘N’ Scoff - Boss Door Opened ,2:34,https://www.youtube.com/watch?v=gDCSZYBdHUI
 Boss Introduction ,2:26,https://www.youtube.com/watch?v=AwUJhF3vhMc
 Angry Army Dillo (Jungle Japes - Boss) ,4:00,https://www.youtube.com/watch?v=YUTjiekGL0w
 Boss Defeated ,0:12,https://www.youtube.com/watch?v=1PNQ95CEcbI
 Pause ,0:08,https://www.youtube.com/watch?v=bLnK9rp-MGI
 Pause Menu ,1:47,https://www.youtube.com/watch?v=8_2VwmMP0bk
 Collect Banana Token ,0:08,https://www.youtube.com/watch?v=urHA_Gj4mB0
