Title,Duration,Video url
  I. Dogma,0:45,https://www.youtube.com/watch?v=7o9W-7JHs_w
  Rip & Tear,4:18,https://www.youtube.com/watch?v=vyA1z2A-lhU
  At DOOM's Gate,1:12,https://www.youtube.com/watch?v=HPZ5CxfuKqU
  Rust Dust & Guts,7:41,https://www.youtube.com/watch?v=pZB9cxJoLgk
  II. DEMIGOD,0:50,https://www.youtube.com/watch?v=L27BrUg4lG8
  Hellwalker (Sign of Evil),5:07,https://www.youtube.com/watch?v=CjbANqQqxcA
  Authorization; Olivia Pierce,2:23,https://www.youtube.com/watch?v=tsryWtOZ010
  Flesh & Metal,7:02,https://www.youtube.com/watch?v=IyKEijqG82g
  Impure Spectrum,1:45,https://www.youtube.com/watch?v=TsDAY7YcCys
  Ties Than Bind,2:07,https://www.youtube.com/watch?v=VOV2Dh2W8_c
  BFG Division,8:30,https://www.youtube.com/watch?v=EHM2OIcG8Ok
  Residual,1:23,https://www.youtube.com/watch?v=nD5ssUt73LY
  Argent Energy,3:04,https://www.youtube.com/watch?v=LaQrORUWec0
  Harbinger,7:15,https://www.youtube.com/watch?v=xzlz2oUJlAs
  Biowaves,2:17,https://www.youtube.com/watch?v=VYHIpx8RVmk
  Olivia's DOOM (Chad Mossholder Remix),4:40,https://www.youtube.com/watch?v=mvKWGtB6s7Q
  Transistor Fist,6:11,https://www.youtube.com/watch?v=fDs3wd9inQk
  Dr. Samuel Hayden,4:09,https://www.youtube.com/watch?v=YtxO7eSmYQU
  Cyberdemon,6:21,https://www.youtube.com/watch?v=aFmIS-4GTwo
  Incantation,3:35,https://www.youtube.com/watch?v=A-1DLeuxC0M
  III. DAKHMA,2:18,https://www.youtube.com/watch?v=-fVynlsxkeg
  Damnation,6:41,https://www.youtube.com/watch?v=_3VHzhVaIts
  The Stench,2:53,https://www.youtube.com/watch?v=GX47QeNeZjQ
  UAC Report File; SHTO36U3,3:07,https://www.youtube.com/watch?v=udCvNyopFRI
  Death & Exhale,3:49,https://www.youtube.com/watch?v=A02t5hx1sHM
  SkullHacker,7:17,https://www.youtube.com/watch?v=wKSVH5gd3oQ
  Lazarus Waves,3:40,https://www.youtube.com/watch?v=OvWttQpM_Qw
  VEGA Core,8:04,https://www.youtube.com/watch?v=kmiBBUmQZ_M
  6 idkill.vega.cih,1:38,https://www.youtube.com/watch?v=L45m1ovty5s
  MasterMind,6:40,https://www.youtube.com/watch?v=KSd5XjjFSec
  IV. DOOM,1:48,https://www.youtube.com/watch?v=NA79vPFy6g4
