Title,Duration,Video url
 Prelude,2:52,https://www.youtube.com/watch?v=eTJDJGXrSl4
 Opening / Bombing Mission,3:58,https://www.youtube.com/watch?v=Ej_JNBOIAz8
 Mako Reactor,3:20,https://www.youtube.com/watch?v=C26ce8io87A
 Anxious Heart,4:02,https://www.youtube.com/watch?v=d3VwcvP-mk8
 Tifa's Theme,5:06,https://www.youtube.com/watch?v=hANInMa6d2c
 Barret's Theme,3:27,https://www.youtube.com/watch?v=aI349JrezcE
 Hurry!,2:30,https://www.youtube.com/watch?v=ITr-8Qp7PfE
 Lurking in the Darkness,2:34,https://www.youtube.com/watch?v=rX3SGyblb-w
 ShinRa Company,4:03,https://www.youtube.com/watch?v=QJOCkUpcahQ
 Fighting,2:47,https://www.youtube.com/watch?v=DEXGm8IcC8g
 Fanfare,0:55,https://www.youtube.com/watch?v=Pb3QYcHgTWw
 Flowers Blooming in the Church,5:00,https://www.youtube.com/watch?v=YaWJSFfw7uc
 Turk's Theme,2:20,https://www.youtube.com/watch?v=tkvqUj3o2j0
 Underneath the Rotting Pizza,3:23,https://www.youtube.com/watch?v=iUo80EEuUu4
 Oppressed People,2:38,https://www.youtube.com/watch?v=_nlvgZjODCY
 Honeybee Manor,3:52,https://www.youtube.com/watch?v=wdb8BxpuK90
 Who are You?,1:24,https://www.youtube.com/watch?v=b6mLjJZaTnI
 Don of the Slums,2:11,https://www.youtube.com/watch?v=C4moPu5XhI0
 Infiltrating ShinRa Tower,3:49,https://www.youtube.com/watch?v=7y-V2U5YlFE
 Still More Fighting,3:33,https://www.youtube.com/watch?v=hDlemKL8QLY
 Red XIII's Theme,1:29,https://www.youtube.com/watch?v=loqbxV9BViA
 Crazy Motorcycle,3:37,https://www.youtube.com/watch?v=YkU-RpbJDc8
 Holding my Thoughts in my Heart,2:15,https://www.youtube.com/watch?v=z73o4itPcAY
 Main Theme,6:51,https://www.youtube.com/watch?v=kcnmFqdrFuc
 Ahead on our Way,3:44,https://www.youtube.com/watch?v=JAXR2ZJXdCM
" Good Night, Until Tomorrow",0:10,https://www.youtube.com/watch?v=Bv39jpypdic
" On That Day, 5 Years Ago",3:14,https://www.youtube.com/watch?v=vBlzGdE9M3k
 Farm Boy,2:52,https://www.youtube.com/watch?v=LYd_qotKooA
 Waltz De Chocobo,0:34,https://www.youtube.com/watch?v=nDriuTD7NwA
 Electric de Chocobo,4:02,https://www.youtube.com/watch?v=j8jrxH8wT7E
 Cinco de Chocobo,3:01,https://www.youtube.com/watch?v=dfQQNUesbR8
 Chasing the Black-Caped Man,3:04,https://www.youtube.com/watch?v=MMZwrE81dgM
 Fortress of the Condor,4:01,https://www.youtube.com/watch?v=1UtSF8sh6-k
 Rufus' Welcoming Ceremony,2:15,https://www.youtube.com/watch?v=KISyevqDGtk
 It's Difficult to Stand on Both Feet,3:31,https://www.youtube.com/watch?v=lwa7-eidG0U
 Trail of Blood,4:13,https://www.youtube.com/watch?v=fFv_zpiRPgA
 J-E-N-O-V-A,2:33,https://www.youtube.com/watch?v=z_xVDzmcCUM
 Continue?,0:37,https://www.youtube.com/watch?v=Ap7DggeiQbg
 Costa del Sol,2:28,https://www.youtube.com/watch?v=bYO2TZRMRCc
 Mark of the Traitor,3:32,https://www.youtube.com/watch?v=NTdbKndqYRo
 Mining Town,3:00,https://www.youtube.com/watch?v=IyItav4yx9U
 Gold Saucer,1:58,https://www.youtube.com/watch?v=lSSRMpEdFXE
 Cait Sith's Theme,3:34,https://www.youtube.com/watch?v=Bl_RPp4RUuw
 Sandy Badlands,5:34,https://www.youtube.com/watch?v=zPyFo6067Q4
 Cosmo Canyon,3:36,https://www.youtube.com/watch?v=2P8usyNf5zU
 Life Stream,3:37,https://www.youtube.com/watch?v=poGQBwcChzs
 Great Warrior,3:24,https://www.youtube.com/watch?v=DbbQA5j__Us
 Descendent of Shinobi,2:46,https://www.youtube.com/watch?v=BIVMhwghJiY
 Those Chosen by the Planet,3:17,https://www.youtube.com/watch?v=RabEhpZKYQc
 The Nightmare's Beginning,2:58,https://www.youtube.com/watch?v=jh6YUZiU5Ms
 Cid's Theme,3:11,https://www.youtube.com/watch?v=b04XwBz3OTk
 Steal the Tiny Bronco!,1:16,https://www.youtube.com/watch?v=xg73n7KRrns
 Wutai,4:30,https://www.youtube.com/watch?v=2lq1pNBJP74
 Stolen Materia,1:37,https://www.youtube.com/watch?v=P0BHdWevAl4
 Racing Chocobos - Place your Bets,1:50,https://www.youtube.com/watch?v=feueEUda52w
 Fiddle de Chocobo,2:50,https://www.youtube.com/watch?v=Di3YI4Td1E4
 A Great Success,0:48,https://www.youtube.com/watch?v=mw8Dlt3Z42E
 Tango of Tears,0:49,https://www.youtube.com/watch?v=Vh4MS7n4HPI
 Debut,2:37,https://www.youtube.com/watch?v=qWjt3ZWDbkI
 Interrupted by Fireworks,2:51,https://www.youtube.com/watch?v=vOluevy-wlM
 Forested Temple,3:51,https://www.youtube.com/watch?v=wXSLyjAHQMs
 You can Hear the Cry of the Planet,3:41,https://www.youtube.com/watch?v=7zl8m_z7Ptc
 Aerith's Theme,4:18,https://www.youtube.com/watch?v=tvxOd2W2xCI
 Buried in the Snow,4:51,https://www.youtube.com/watch?v=AeEkhSpkoZg
 The Great Northern Cave,6:06,https://www.youtube.com/watch?v=2x1UhVIb2XE
 Reunion,3:34,https://www.youtube.com/watch?v=taPvtzlu-2g
 Who Am I?,1:38,https://www.youtube.com/watch?v=cHjDXroDm6M
 ShinRa Army Wages a Full-Scale Attack,2:57,https://www.youtube.com/watch?v=7JOB4eCiQJQ
 Weapon Raid,2:52,https://www.youtube.com/watch?v=yhLkJX-90DA
 High Wind Takes to the Skies,3:35,https://www.youtube.com/watch?v=AYcZsrp9jbw
" A Secret, Sleeping in the Deep Sea",4:17,https://www.youtube.com/watch?v=BDOZ0wnyquQ
 Parochial Town,2:27,https://www.youtube.com/watch?v=rkcUFa0PPDM
 Off the Edge of Despair,4:15,https://www.youtube.com/watch?v=aqpD9gAe3tw
 On the Other Side of the Mountain,2:36,https://www.youtube.com/watch?v=JZSnFCj0DyU
 Hurry Faster,2:09,https://www.youtube.com/watch?v=1KiXEXMiEWs
 Sending a Dream into the Universe,2:50,https://www.youtube.com/watch?v=xAlWpv4uOxI
 The Countdown Begins,0:51,https://www.youtube.com/watch?v=coGRlEN4rVo
 If You Open Your Heart,2:48,https://www.youtube.com/watch?v=mCdWzMsWcZg
 Judgement Day,4:08,https://www.youtube.com/watch?v=5GiNtbQAlBg
 Jenova Absolute,3:59,https://www.youtube.com/watch?v=G0rP3mYiyzw
 The Birth of God,4:13,https://www.youtube.com/watch?v=fYGUjYpGRKE
 One-Winged Angel,7:21,https://www.youtube.com/watch?v=PhwJZVvPsPQ
 World Crisis,8:07,https://www.youtube.com/watch?v=0HOSM-u_Lkw
 Staff Roll,6:52,https://www.youtube.com/watch?v=JALPBIparaw
