Title,Duration,Video url
God of War  ,4:41,https://www.youtube.com/watch?v=mMGtda8mTlo
Memories of Mother  ,4:14,https://www.youtube.com/watch?v=fD12ncnQ-RY
Witch of the Woods  ,3:36,https://www.youtube.com/watch?v=9vY1_ktUbKU
Lullaby of the Giants  ,4:18,https://www.youtube.com/watch?v=MQ93_g3hlW0
Ashes  ,6:44,https://www.youtube.com/watch?v=xdQeqIWmAbc
Peaks Pass  ,3:08,https://www.youtube.com/watch?v=xNUeGUiKQPE
A Giant's Prayer  ,2:34,https://www.youtube.com/watch?v=MBOOhdl_I8o
The Dragon  ,4:17,https://www.youtube.com/watch?v=vJ840kU38pE
Mimir  ,3:31,https://www.youtube.com/watch?v=sWZz-85_FM0
Magni and Modi  ,3:24,https://www.youtube.com/watch?v=UWpInxQ4OIw
Echoes of an Old Life  ,4:19,https://www.youtube.com/watch?v=F5PMgBH-SfU
Helheim  ,3:55,https://www.youtube.com/watch?v=gdPKyfUN4Nc
The Healing  ,3:50,https://www.youtube.com/watch?v=0cqNEvql3GY
The Reach of Your Godhood  ,3:11,https://www.youtube.com/watch?v=PBzlA9BvZUY
Stone Mason  ,4:23,https://www.youtube.com/watch?v=s1jPi9tuDk4
Valkyries  ,5:42,https://www.youtube.com/watch?v=jBAvxY2JUkc
Deliverance  ,6:52,https://www.youtube.com/watch?v=UO7j_OGDl7s
Salvation  ,7:22,https://www.youtube.com/watch?v=Onx-S0uRs78
The Ninth Realm  ,5:32,https://www.youtube.com/watch?v=bkBszQxnUUs
The Summit  ,3:53,https://www.youtube.com/watch?v=WzJJSYpOSmc
Epilogue  ,1:21,https://www.youtube.com/watch?v=FgndZuNya4I
Memories of Mother (Farewell to Faye Version)  ,4:23,https://www.youtube.com/watch?v=8VPikMrSgHY
