Title,Duration,Video url
Cat Food,3:26,https://www.youtube.com/watch?v=QoTDUtVkS6c
Secret Police Himitsu Keisatsu,3:00,https://www.youtube.com/watch?v=oTDQsCOOnm4
Melancholic,3:40,https://www.youtube.com/watch?v=7vtShiAojvw
Weekender Girl,3:33,https://www.youtube.com/watch?v=6yZ96Bi17j4
Time Machine,3:08,https://www.youtube.com/watch?v=nKQu5psiZ04
DYE,3:31,https://www.youtube.com/watch?v=w5N_9e5Z-iM
Fire Flower,3:08,https://www.youtube.com/watch?v=d0sH3Uvi8RE
Summer Idol,2:39,https://www.youtube.com/watch?v=ajK-SVznAq8
ACUTE,3:35,https://www.youtube.com/watch?v=D-ddU0K6qfQ
Left Behind City Urbandonment,3:25,https://www.youtube.com/watch?v=VRlz-bN-f8s
What Do You Mean !,3:06,https://www.youtube.com/watch?v=Q3xoG4E_0BE
Stay With Me,3:36,https://www.youtube.com/watch?v=RXdrYVAk1Ls
Hm Ah yes,2:26,https://www.youtube.com/watch?v=tNZiY8_zYFg
Remote Controller,3:29,https://www.youtube.com/watch?v=2iSIk5bS6ng
Ashes To Ashes,3:30,https://www.youtube.com/watch?v=nx9Q4F5qWJ0
World's End Umbrella,3:56,https://www.youtube.com/watch?v=s1V7pqn_eFs
Freely Tomorrow,4:00,https://www.youtube.com/watch?v=Stgq76mnOIg
Monochrome Blue Sky,3:20,https://www.youtube.com/watch?v=dEViMK6LeKU
Megane Glasses,2:53,https://www.youtube.com/watch?v=JbijBJ-EKhs
Kagamine HachiHachi Flower Fight,2:34,https://www.youtube.com/watch?v=Y7-hpEASoFo
World's End Dance Hall,3:31,https://www.youtube.com/watch?v=SDpQMycXGnA
The MMORPG Addict's Anthem,3:23,https://www.youtube.com/watch?v=yyPhrqLtWOQ
Nostalogic,3:02,https://www.youtube.com/watch?v=M87A3T2WsSY
Nyanyanyanyanyan,3:03,https://www.youtube.com/watch?v=-wPTdzcZR3w
Unhappy Refrain,3:47,https://www.youtube.com/watch?v=a2kqCMsnNCM
ODDSENDS,5:34,https://www.youtube.com/watch?v=Ww9RRXtNIdQ
Heaven's Music Tengaku,3:35,https://www.youtube.com/watch?v=wiunIB0J8Hs
Divine Comedy God Tier Tune,3:17,https://www.youtube.com/watch?v=rx8palshRTk
Black Rock Shooter,3:25,https://www.youtube.com/watch?v=rMjEcR9fTOw
Negapos Continues,2:15,https://www.youtube.com/watch?v=2-OQcBWsC9o
Sadistic Music Factory,2:40,https://www.youtube.com/watch?v=qYjBCgryXA4
Continuing Dreams,3:48,https://www.youtube.com/watch?v=XH4_WHyXCnA
Tell Your World,3:03,https://www.youtube.com/watch?v=4dyEnOVGZZs
Tokyo Teddy Bear,3:13,https://www.youtube.com/watch?v=kRNLcmae2gg
Dream Eating Monochrome Baku,3:35,https://www.youtube.com/watch?v=w4STmOtENGg
Sweet Devil,3:55,https://www.youtube.com/watch?v=LKHOqSR_tC0
Rin Chan Now!,2:49,https://www.youtube.com/watch?v=2guHgTBFf3k
Thousand Cherry Blossoms,3:37,https://www.youtube.com/watch?v=tyJIYM2EqdM
World is Mine  Giving Day Edition,2:53,https://www.youtube.com/watch?v=Peo-1MpsDHw
I'll make you do the Miku Miku,1:41,https://www.youtube.com/watch?v=gFOCV1xwDao
Miracle Paint,2:25,https://www.youtube.com/watch?v=8YiPeTNLHWg
Levan Polkka,4:06,https://www.youtube.com/watch?v=g8jCxWgyYiw
