Title,Duration,Video url
Enter Hallownest,1:30,https://www.youtube.com/watch?v=243Uguc-6mQ
Dirtmouth,1:56,https://www.youtube.com/watch?v=NSlkW1fFkyo
Crossroads,2:28,https://www.youtube.com/watch?v=eX4de4BH5lM
False Knight,3:05,https://www.youtube.com/watch?v=vKDQNGDOdE4
Greenpath,3:38,https://www.youtube.com/watch?v=fWquuWkHVP4
Hornet,2:47,https://www.youtube.com/watch?v=7xkM8mWC4Kk
Reflection,1:40,https://www.youtube.com/watch?v=nC3Dd3eqZy8
Mantis Lords,1:46,https://www.youtube.com/watch?v=Lp5M2BAXwSo
City of Tears,2:59,https://www.youtube.com/watch?v=MJDn70jh1V0
Dung Defender,2:08,https://www.youtube.com/watch?v=lkgHqBl12Cg
Crystal Peak,4:09,https://www.youtube.com/watch?v=DWKKsB0rD40
Fungal Wastes,3:05,https://www.youtube.com/watch?v=fhUqu-g0pVY
Decisive Battle,2:06,https://www.youtube.com/watch?v=r7hCJIC_y6Q
Soul Sanctum,4:31,https://www.youtube.com/watch?v=pvpCX9qtyZE
Resting Grounds,2:13,https://www.youtube.com/watch?v=CgrBJDU2yvQ
Queen's Gardens,1:47,https://www.youtube.com/watch?v=O_g-JmMfpF4
The White Lady,1:20,https://www.youtube.com/watch?v=IOvO7OmxAqI
Broken Vessel,2:00,https://www.youtube.com/watch?v=dyHn4980MPY
Kingdom's Edge,2:23,https://www.youtube.com/watch?v=XGcYPyZRyTY
Nosk,1:51,https://www.youtube.com/watch?v=4wfAVkXxhEw
Dream,2:02,https://www.youtube.com/watch?v=oG_kxNhs1I8
Dream Battle,2:26,https://www.youtube.com/watch?v=uAmgPYMY3o8
White Palace,4:19,https://www.youtube.com/watch?v=4JWANCA-Pbw
Sealed Vessel,5:46,https://www.youtube.com/watch?v=ze0Rk-m0w2A
Radiance,2:18,https://www.youtube.com/watch?v=SkD5Ceo8KAo
Hollow Knight,1:37,https://www.youtube.com/watch?v=r6PuACnHkNY
"Truth, Beauty and Hatred (Hollow Knight: Hidden Dreams)",3:51,https://www.youtube.com/watch?v=zidGo704SvI
White Defender (Hollow Knight: Hidden Dreams),3:42,https://www.youtube.com/watch?v=EVuSps67I9w
Grimm (Hollow Knight: The Grimm Troupe),2:19,https://www.youtube.com/watch?v=qmsjvBivRkU
Nightmare King (Hollow Knight: The Grimm Troupe),5:33,https://www.youtube.com/watch?v=Mq8E_1LkoAc
Hive Knight (Hollow Knight: Gods & Nightmares),2:03,https://www.youtube.com/watch?v=RVyJmhiJjA8
"Truth, Beauty and Hatred (Hollow Knight: Gods & Nightmares)",1:59,https://www.youtube.com/watch?v=DayjA0isJLs
Nightmare Lantern Interlude (Hollow Knight: Gods & Nightmares),0:18,https://www.youtube.com/watch?v=-8N7Td5FtYs
The Grimm Troupe (Hollow Knight: Gods & Nightmares),2:19,https://www.youtube.com/watch?v=Xnc4wSuKvuo
Nightmare King (Hollow Knight: Gods & Nightmares),2:51,https://www.youtube.com/watch?v=GGhZsiRCvYc
White Defender (Hollow Knight: Gods & Nightmares),3:40,https://www.youtube.com/watch?v=5ioNwM3nxmQ
Dreamers (Hollow Knight: Gods & Nightmares),0:54,https://www.youtube.com/watch?v=4tFRd79Ukb8
Pale Court (Hollow Knight: Gods & Nightmares),3:53,https://www.youtube.com/watch?v=LCYP9L2FfQg
Gods & Glory (Hollow Knight: Gods & Nightmares),2:53,https://www.youtube.com/watch?v=UjBTtNU27Ec
Daughter of Hallownest (Hollow Knight: Gods & Nightmares),2:57,https://www.youtube.com/watch?v=o5_nMrARi-k
Godhome (Hollow Knight: Gods & Nightmares),2:00,https://www.youtube.com/watch?v=NTDpg_N6WRI
Sisters of Battle (Hollow Knight: Gods & Nightmares),1:52,https://www.youtube.com/watch?v=4yxgEsS8ogM
Haunted Foes (Hollow Knight: Gods & Nightmares),2:38,https://www.youtube.com/watch?v=pqpdrTRZX0Y
Furious Gods (Hollow Knight: Gods & Nightmares),1:08,https://www.youtube.com/watch?v=ut_RjDGUJoY
Pure Vessel (Hollow Knight: Gods & Nightmares),2:28,https://www.youtube.com/watch?v=35pUQDrKy5A
Lace (Silksong OST Sample),2:47,https://www.youtube.com/watch?v=zRs58D34OLY
Bonebottom (Silksong OST Sample),3:12,https://www.youtube.com/watch?v=e6b-lWhn8pg
