Title,Duration,Video url
 I was Born for This   ,4:41,https://www.youtube.com/watch?v=0wErxj8y_AU
 Apotheosis   ,7:07,https://www.youtube.com/watch?v=2m9d4ae0Psg
 Nadir   ,3:37,https://www.youtube.com/watch?v=APXI3oh6uTc
 Reclamation   ,2:17,https://www.youtube.com/watch?v=OfXl9CVuqR0
 The Crossing   ,1:58,https://www.youtube.com/watch?v=N5wSe_I74AI
 Final Confluence   ,2:07,https://www.youtube.com/watch?v=zZTN71GWhPI
 Atonement   ,6:11,https://www.youtube.com/watch?v=NX_5Vd7ti84
 Fifth Confluence   ,1:23,https://www.youtube.com/watch?v=Tec47r_Js-o
 Descent   ,2:41,https://www.youtube.com/watch?v=ttTxs00193o
 Temptations   ,4:14,https://www.youtube.com/watch?v=E6oMdb-uqA0
 Fourth Confluence   ,1:07,https://www.youtube.com/watch?v=7nRWOdq1m4Q
 The Road of Trials   ,4:17,https://www.youtube.com/watch?v=AEp-Gshg598
 Third Confluence   ,1:40,https://www.youtube.com/watch?v=OUFOQ0Dmohk
 Threshold   ,6:05,https://www.youtube.com/watch?v=khhLSvLPKb4
 Second Confluence   ,2:20,https://www.youtube.com/watch?v=xIFIaZvXBAI
 First Confluence   ,1:41,https://www.youtube.com/watch?v=L3mp5Jsk_GA
 The Call   ,3:39,https://www.youtube.com/watch?v=4q3jcPukkto
 Nascence   ,1:47,https://www.youtube.com/watch?v=6LyyLYxdpUQ
