Title,Duration,Video url
That's Where Your Story Begins,2:47,https://www.youtube.com/watch?v=LUgwZ6qz_-I
LEGO Universe,3:02,https://www.youtube.com/watch?v=pjoLdKVE1W8
Nimbus Plaza,2:04,https://www.youtube.com/watch?v=VWzstTEuiMo
Gnarled Forest,2:07,https://www.youtube.com/watch?v=9q1xvlauxPg
Avant Gardens Launch,1:05,https://www.youtube.com/watch?v=6h1zV0hVdUU
Planet Crux,2:06,https://www.youtube.com/watch?v=IAO5-2i6OYY
Brick Annex,2:11,https://www.youtube.com/watch?v=afOLEMhLVqE
Venture Base,2:07,https://www.youtube.com/watch?v=AGdxTueORes
Pet Cove (The Power of Imagination),2:10,https://www.youtube.com/watch?v=e1cXEtVtl1Y
The Maelstrom (A Powerful Darkness on the Horizon),4:15,https://www.youtube.com/watch?v=CTk0M-VlBU8
Ride The Skies (Spaceship of the Imagination),2:32,https://www.youtube.com/watch?v=OVQpe6I_Fxo
Nexus Tower,2:07,https://www.youtube.com/watch?v=3bms-Q5V_q4
Tortoise Terrace,1:53,https://www.youtube.com/watch?v=_zlpK9A7-ZI
Conquering Brig Rock,2:06,https://www.youtube.com/watch?v=6OBXcipxX64
Elephant Encampment,2:08,https://www.youtube.com/watch?v=LGy-l2YdV1Q
The Ravine,1:07,https://www.youtube.com/watch?v=xTx0Tqdye40
Crocodile Corner,2:03,https://www.youtube.com/watch?v=mb8pSZIv5rg
Darkling Battle,3:04,https://www.youtube.com/watch?v=tWr1k85IEtE
Forbidden Valley,2:06,https://www.youtube.com/watch?v=MOFcv2nQ-fA
Gorilla Combat,2:02,https://www.youtube.com/watch?v=F3HWuWy1Cbw
Morning in Forbidden Valley,1:06,https://www.youtube.com/watch?v=nJ9Ypr8SXS4
Enter the Spider's Lair,2:06,https://www.youtube.com/watch?v=HJhJWAoFydQ
Our Universe,2:36,https://www.youtube.com/watch?v=Yh6hcq40ZJw
Approaching the Great Monument,0:49,https://www.youtube.com/watch?v=mcOQUegIiTE
Monument Race,3:09,https://www.youtube.com/watch?v=OxHPHxjrVfk
The Great Tree,2:10,https://www.youtube.com/watch?v=m7DhJiSpnHw
Mystery of Forbidden Valley,2:10,https://www.youtube.com/watch?v=m-HPlXDGP_0
The Ronin of Forbidden Valley,4:05,https://www.youtube.com/watch?v=SECGk8f1UL8
Minifigure Rocketeer,0:36,https://www.youtube.com/watch?v=Tlk2WmLav4c
Cannon Cove,3:25,https://www.youtube.com/watch?v=viWIYnZKqJ8
Cave Battle,1:04,https://www.youtube.com/watch?v=QXyjNxlIn_c
Stromling Combat,2:05,https://www.youtube.com/watch?v=fAleqSIA_Ts
The S.S. Venture Explorer,1:05,https://www.youtube.com/watch?v=l-LefOnCAHY
New Worlds (LEGO Universe Coda),1:34,https://www.youtube.com/watch?v=1HtVXoraltE
