Title,Duration,Video url
Spider-Man,3:27,https://www.youtube.com/watch?v=B_jPNlVeZNQ
Eight Years in the Making,2:02,https://www.youtube.com/watch?v=AbuCTEM6T94
Inside the Numbers,3:33,https://www.youtube.com/watch?v=Jl-OELLhUks
The Golden Age,3:07,https://www.youtube.com/watch?v=MatSWEDUNe8
Examine,1:40,https://www.youtube.com/watch?v=PJKn_LRpe7Q
Shocking Turn of Events,4:09,https://www.youtube.com/watch?v=CHaosRXcJ28
All the King's Men,2:03,https://www.youtube.com/watch?v=wgkSL9ZO5LA
City of Hope,1:43,https://www.youtube.com/watch?v=yOQBeG7dixQ
The Man He Was,3:38,https://www.youtube.com/watch?v=hsrchYw3PV4
Webbed from the Shadows,2:12,https://www.youtube.com/watch?v=4soT8bkiaI8
Stone Cold,2:42,https://www.youtube.com/watch?v=2xFi3tYn5vw
City on Alert,2:49,https://www.youtube.com/watch?v=3HtLQ8MrVso
The Breakthrough,3:08,https://www.youtube.com/watch?v=z9PClPRSjbE
The Demon He Became,4:44,https://www.youtube.com/watch?v=0bnJU5Ksr1c
Worlds Colliding,4:49,https://www.youtube.com/watch?v=mUPJ5_wpDXI
Anything for a Story,3:06,https://www.youtube.com/watch?v=H_12wr3lV6s
Chasing Down the Devil,2:39,https://www.youtube.com/watch?v=hicXL74BwtE
International Support,3:35,https://www.youtube.com/watch?v=Vk_p-2FIUcY
The Sinister Six,3:02,https://www.youtube.com/watch?v=hODuXlNLlac
The Mastermind,3:25,https://www.youtube.com/watch?v=OUIVUCJfzu0
Negative View,1:41,https://www.youtube.com/watch?v=T4xzBf8aks8
No Going Back,2:16,https://www.youtube.com/watch?v=KW5tustsmYU
Renewed Rivalries,3:06,https://www.youtube.com/watch?v=ZJ6mbdIxIfM
Destroying Your Own Creation,2:30,https://www.youtube.com/watch?v=3Ln2yCqEq30
The Final Lesson,4:09,https://www.youtube.com/watch?v=c7XQr58Xe5c
Responsibility,3:16,https://www.youtube.com/watch?v=AwASRZCtASw
Behind the Mask,2:20,https://www.youtube.com/watch?v=m3DiDVDDISc
Bad Luck,3:43,https://www.youtube.com/watch?v=1plfCRLT0Xo
The Sacrifice,3:14,https://www.youtube.com/watch?v=7VICQtlF7I8
Web Launch,3:02,https://www.youtube.com/watch?v=m9mrxvkPkKI
No Other Choice,2:40,https://www.youtube.com/watch?v=kj3iuGKEGio
Laying Down the Hammer,2:48,https://www.youtube.com/watch?v=gW7mScY1dts
Restoring Order,3:02,https://www.youtube.com/watch?v=P_VRASHtYAI
Don't Give Up,4:11,https://www.youtube.com/watch?v=ZMPh5aFuTp0
Rhino Rampage,4:06,https://www.youtube.com/watch?v=dQZ3ueKo9uY
New York's Only Spider-Man,2:54,https://www.youtube.com/watch?v=dEsj9polidg
Spider-Training,2:57,https://www.youtube.com/watch?v=KV84RS7oyzU
Best Friends,5:17,https://www.youtube.com/watch?v=4fjLTbbrKsw
Be Yourself,4:19,https://www.youtube.com/watch?v=BZspoNG1uPk
Confession,6:41,https://www.youtube.com/watch?v=macFXm5RadA
The Underground,2:43,https://www.youtube.com/watch?v=aIJI_7vFw9o
Thicker Than Water,4:55,https://www.youtube.com/watch?v=q6g0AHfCyrk
On the Case,2:43,https://www.youtube.com/watch?v=mqnUnEZVuJg
All In,3:54,https://www.youtube.com/watch?v=fxCCEYZHfu8
Trying to Protect You,2:28,https://www.youtube.com/watch?v=lbJ4bshzcKo
We're Here for You,3:25,https://www.youtube.com/watch?v=AkhEUswVY14
Worst Enemies,4:08,https://www.youtube.com/watch?v=bEk3EPJ6BAk
Make It Right,5:58,https://www.youtube.com/watch?v=UZcRtk_J69Q
Won't Give Up,2:22,https://www.youtube.com/watch?v=LN7RizUFY7E
I'm Ready,3:10,https://www.youtube.com/watch?v=3pvSGwHgvhU
Where We Come From,2:30,https://www.youtube.com/watch?v=6CJXtP0F22M
This Is My Time,2:16,https://www.youtube.com/watch?v=6IluguvNpiQ
Greater Together,3:19,https://www.youtube.com/watch?v=VOrCQzAovDA
The Great Hunter,3:56,https://www.youtube.com/watch?v=cuhu99mgUIo
Ready or Not,2:20,https://www.youtube.com/watch?v=DZxEi3O976E
A Second Chance,5:48,https://www.youtube.com/watch?v=Oy_lt1JMQzY
Betrayal,3:33,https://www.youtube.com/watch?v=vAWzpl0dPow
East River Mayhem,3:28,https://www.youtube.com/watch?v=0DrBOGli0ns
Moving Forward,3:34,https://www.youtube.com/watch?v=15yBNv7TmQg
Back to School,2:38,https://www.youtube.com/watch?v=s-wBPYgllT4
Symbiotic Relationship,6:13,https://www.youtube.com/watch?v=Gb4plZV_7F8
Sacrifice,4:17,https://www.youtube.com/watch?v=5dpyGkvB0d0
Battling Your Inner Demons,5:08,https://www.youtube.com/watch?v=LjLHxa9Zeiw
A Familiar Bond,5:09,https://www.youtube.com/watch?v=oW8aPRvMSW8
Fighting Back,4:17,https://www.youtube.com/watch?v=GwrZtnLsk3s
At Last,3:27,https://www.youtube.com/watch?v=PqEmLg_6V88
Trouble at Home,4:46,https://www.youtube.com/watch?v=IA5npS6aoZs
Mind Games,2:39,https://www.youtube.com/watch?v=paqxuvoB9eM
Midtown Madness,2:43,https://www.youtube.com/watch?v=9FD8b2X5y6k
Foundational Feud,2:37,https://www.youtube.com/watch?v=fEedR--TOek
Healing the World,3:08,https://www.youtube.com/watch?v=ub6Gac3zhTw
Swing,3:05,https://www.youtube.com/watch?v=l0_fzBl2bz0
In Full Swing (Surkin Version),3:04,https://www.youtube.com/watch?v=jUnFd882nKc
