Title,Duration,Video url
 Minecraft - Minecraft Volume Alpha,4:15,https://www.youtube.com/watch?v=qq-RGFyaq0U
 Key - Minecraft Volume Alpha,1:06,https://www.youtube.com/watch?v=05UM-i4PuOY
 Subwoofer Lullaby - Minecraft Volume Alpha,3:29,https://www.youtube.com/watch?v=Gpd85y_iTxY
 Living Mice - Minecraft Volume Alpha,2:58,https://www.youtube.com/watch?v=oGxQNQtnr6Q
 Haggstrom - Minecraft Volume Alpha,3:25,https://www.youtube.com/watch?v=laZusNy8QiY
 Oxygène - Minecraft Volume Alpha,1:06,https://www.youtube.com/watch?v=nz8QEpaGoJg
 Mice on Venus - Minecraft Volume Alpha,4:42,https://www.youtube.com/watch?v=DZ47H84Bc_Q
 Dry Hands - Minecraft Volume Alpha,1:09,https://www.youtube.com/watch?v=4i0d6CPLSGo
 Wet Hands - Minecraft Volume Alpha,1:31,https://www.youtube.com/watch?v=mukiMaOSLEs
 Clark - Minecraft Volume Alpha,3:12,https://www.youtube.com/watch?v=UhWjWdlnmEw
 Sweden - Minecraft Volume Alpha,3:36,https://www.youtube.com/watch?v=aBkTkxKDduc
 Danny - Minecraft Volume Alpha,4:15,https://www.youtube.com/watch?v=SznnVAnkv3c
 Beginning - Minecraft Volume Alpha,1:43,https://www.youtube.com/watch?v=lMRziQRmYLI
 Door - Minecraft Volume Alpha,1:52,https://www.youtube.com/watch?v=sCvARLz0rjI
 Death - Minecraft Volume Alpha,0:42,https://www.youtube.com/watch?v=e3QPUa5iSds
 Moog City - Minecraft Volume Alpha,2:41,https://www.youtube.com/watch?v=wnHy42Zh14Y
 Équinoxe - Minecraft Volume Alpha,1:55,https://www.youtube.com/watch?v=_14Xf_j_C5o
 Chris - Minecraft Volume Alpha,1:28,https://www.youtube.com/watch?v=_CSXzPaTgqo
 Excuse - Minecraft Volume Alpha,2:05,https://www.youtube.com/watch?v=m4EL70Vs1sE
 Dog - Minecraft Volume Alpha,2:26,https://www.youtube.com/watch?v=sMOcqXM_d8o
 Droopy likes Ricochet - Minecraft Volume Alpha,1:37,https://www.youtube.com/watch?v=ONbX9QCL36k
