Title,Duration,Video url
 Disc 01 — 1. Kamura's Song of Purification (Hinoe.),0:56,https://www.youtube.com/watch?v=XtN8xTvC8ts
 Disc 01 — 2. Rise of a New Hunter,3:57,https://www.youtube.com/watch?v=Wt0QlAscBWM
 Disc 01 — 3. Kamura Village,3:56,https://www.youtube.com/watch?v=dsaIealFxgo
 Disc 01 — 4. Kamura's Song of Purification (Kamura Village Theme.),4:01,https://www.youtube.com/watch?v=aKKRgjPfJMI
 Disc 01 — 5. Best Buddies,3:33,https://www.youtube.com/watch?v=G_EOyVs8-qI
 Disc 01 — 6. Nice to Meet You!,0:10,https://www.youtube.com/watch?v=nO_iQRz0wJU
 Disc 01 — 7. The Secrets of Kamura,3:55,https://www.youtube.com/watch?v=mtPyZUw5KSg
 Disc 01 — 8. Motley Mix,0:21,https://www.youtube.com/watch?v=omqmXTe_gvc
 Disc 01 — 9. Can I Take Your Order?,0:45,https://www.youtube.com/watch?v=yzAxHJ6GiPQ
 Disc 01 — 10. Yummy Dango Song No.1,0:26,https://www.youtube.com/watch?v=DMBoKVL2mO0
 Disc 01 — 11. Forgotten Shrine (Day.),0:23,https://www.youtube.com/watch?v=ttELdnKEXEM
 Disc 01 — 12. Forgotten Shrine (Night.),0:25,https://www.youtube.com/watch?v=wxsCgvoEo-4
 Disc 01 — 13. Sanctuary Abandoned by the Gods: Small Monsters,2:13,https://www.youtube.com/watch?v=FNKVG8CcbTw
 Disc 01 — 14. Sanctuary Abandoned by the Gods (Shrine Ruins Theme.),3:59,https://www.youtube.com/watch?v=VmNfsf142SQ
 Disc 01 — 15. Sanctuary Abandoned by the Gods: The Chase,1:15,https://www.youtube.com/watch?v=QyrQbTTdxxU
 Disc 01 — 16. Grasping the Reins,1:26,https://www.youtube.com/watch?v=AVXNoSTNB04
 Disc 01 — 17. Thinking of Strange Lands,2:41,https://www.youtube.com/watch?v=t-gsrLrVpiA
 Disc 01 — 18. Trading is a Form of Wonder!,0:26,https://www.youtube.com/watch?v=2Cfaoon4YgE
 Disc 01 — 19. Prison of Snow (Day.),0:26,https://www.youtube.com/watch?v=n6tT9341WyA
 Disc 01 — 20. Prison of Snow (Night.),0:25,https://www.youtube.com/watch?v=L8ZUeAGCRak
 Disc 01 — 21. Where Wyverns go to Die: Small Monsters,2:23,https://www.youtube.com/watch?v=WA_i4WB5Tzk
 Disc 01 — 22. Where wyverns go to Die (Frost Islands Theme.),3:51,https://www.youtube.com/watch?v=s7HOs7xYiB0
 Disc 01 — 23. Where Wyverns go to Die: The Chase,1:31,https://www.youtube.com/watch?v=bT8Nk7nYoFc
 Disc 01 — 24. Where Dry Sand Fills the Air (Day.),0:32,https://www.youtube.com/watch?v=5vto8BARbqU
 Disc 01 — 25. Where Dry Sand Fills the Air (Night.),0:30,https://www.youtube.com/watch?v=v8dMPAhjiyo
