Title,Duration,Video url
意味/無/ジュニーク・ニコール,2:40,https://www.youtube.com/watch?v=9I_DKXWdmRU
遺サレタ場所/斜光,6:23,https://www.youtube.com/watch?v=hMw-DUnR10s
穏ヤカナ眠リ,6:51,https://www.youtube.com/watch?v=7jna9bvhdRE
砂塵ノ記憶,5:30,https://www.youtube.com/watch?v=wdOdu-5lV-M
生マレ出ヅル意思,4:41,https://www.youtube.com/watch?v=ci3gO75B3Yc
沈痛ノ色,3:17,https://www.youtube.com/watch?v=35hxpTd70FI
遊園施設,6:20,https://www.youtube.com/watch?v=8jpJM6nc6fE
美シキ歌,4:07,https://www.youtube.com/watch?v=KJBUF-s15co
還ラナイ声/ギター,3:52,https://www.youtube.com/watch?v=ABvi5qegodY
オバアチャン/破壊,5:32,https://www.youtube.com/watch?v=tDHRpWNq2-s
澱ンダ祈リ/暁風,3:13,https://www.youtube.com/watch?v=jju9RYsxBkU
エミール/ショップ,5:29,https://www.youtube.com/watch?v=Z0kimSJ51JY
大切ナ時間,3:47,https://www.youtube.com/watch?v=9JYjv3u04NE
曖昧ナ希望/氷雨,3:37,https://www.youtube.com/watch?v=paneqmGdM84
Weight of the World/English Version,5:45,https://www.youtube.com/watch?v=ToBQY630PZE
意味/河野万里奈/エミ・エヴァンス,2:40,https://www.youtube.com/watch?v=pvjFQOmPM3A
遺サレタ場所/遮光,6:02,https://www.youtube.com/watch?v=5l0y0hOEflQ
異形ノ末路,4:32,https://www.youtube.com/watch?v=MAIh91aQipQ
還ラナイ声/通常,2:54,https://www.youtube.com/watch?v=QXxu0u4PBx8
パスカル,4:47,https://www.youtube.com/watch?v=YA9ozz04Nfk
森ノ王国,5:53,https://www.youtube.com/watch?v=SAuoXWy2uDM
全テヲ破壊スル黒キ巨人/怪獣,6:07,https://www.youtube.com/watch?v=PxaAqNhjZok
複製サレタ街,4:00,https://www.youtube.com/watch?v=gnUPKPM9I4U
愚カシイ兵器：乙：甲,7:05,https://www.youtube.com/watch?v=E9c-t8hQCRo
取リ憑イタ業病,5:03,https://www.youtube.com/watch?v=O7dy3cKt1e0
割レタ心,3:31,https://www.youtube.com/watch?v=KVShAmWDuY8
愚カシイ兵器：丙,3:08,https://www.youtube.com/watch?v=JchFTkB3kQE
追悼,4:52,https://www.youtube.com/watch?v=EFKnzTsKDU0
依存スル弱者,5:07,https://www.youtube.com/watch?v=DDwmKkxAyk0
Weight of the World/壊レタ世界ノ歌,5:45,https://www.youtube.com/watch?v=Dsk3DTdTY3Y
再生ト希望,0:38,https://www.youtube.com/watch?v=iZP5meU4_Lk
戦争ト戦争,4:33,https://www.youtube.com/watch?v=Bd67uSWHk2g
崩壊ノ虚妄,3:27,https://www.youtube.com/watch?v=ef_re_O5RfU
茫洋タル病,3:19,https://www.youtube.com/watch?v=ygmpQwwqOH8
偽リノ城塞,2:50,https://www.youtube.com/watch?v=0Vcoh3KgXCk
曖昧ナ希望/翠雨,4:41,https://www.youtube.com/watch?v=TTnGvarkyv4
イニシエノウタ/贖罪,5:10,https://www.youtube.com/watch?v=QNmui0Prrls
