Title,Duration,Video url
 A New Era,1:57,https://www.youtube.com/watch?v=ghfrwHnamxg
 Midtown,1:58,https://www.youtube.com/watch?v=32U6dtqsYx8
 Zero Hour,7:35,https://www.youtube.com/watch?v=1uXkvNaSPY0
 Kiriko Origin,2:57,https://www.youtube.com/watch?v=yJO_VUCrV6s
 Answering The Call,2:43,https://www.youtube.com/watch?v=PhKaakJg3to
 Esperança,2:06,https://www.youtube.com/watch?v=ews4q81RBEY
 Kiriko,8:07,https://www.youtube.com/watch?v=BBUIOiuq0Qo
 We Press On,3:01,https://www.youtube.com/watch?v=dnzqNrisN-s
 Antarctic Peninsula,2:35,https://www.youtube.com/watch?v=yOMKbN5QsHo
 Colosseo,1:25,https://www.youtube.com/watch?v=VFeIZDOc2pA
 Lifeweaver Origin,2:12,https://www.youtube.com/watch?v=2wBVZy7SorY
 Circuit Royal,1:57,https://www.youtube.com/watch?v=Y2mEsUdPAsI
 Null Sector,3:23,https://www.youtube.com/watch?v=Iks8UZcsHks
 Junker Queen Origin,1:24,https://www.youtube.com/watch?v=0hOLGkFCMus
 Loverwatch,2:50,https://www.youtube.com/watch?v=m8ZerWCpCW8
 Shambali Monastery,2:31,https://www.youtube.com/watch?v=neP5r9C1RmA
 New Blood,3:03,https://www.youtube.com/watch?v=hTcVKeruCKg
 Cyber Demon Genji,2:25,https://www.youtube.com/watch?v=fsfLcwOp_GY
 Paraíso,2:46,https://www.youtube.com/watch?v=rApq_QVb1Ic
 New Queen Street,1:48,https://www.youtube.com/watch?v=FAIc189Tn1U
 Starwatch,1:31,https://www.youtube.com/watch?v=KgpcyiBxwTA
 Ramattra Origin,1:33,https://www.youtube.com/watch?v=JJ7P2pLtQ2U
 Wrath of the Bride,1:51,https://www.youtube.com/watch?v=qRcdJAXxRRw
 The Wastelander,7:18,https://www.youtube.com/watch?v=X-x9kl2RUgA
 Sojourn Origin,1:37,https://www.youtube.com/watch?v=ZiCM3FvQ3U0
 Flow (Bonus Track),3:17,https://www.youtube.com/watch?v=aepelmjrA24
