Title,Duration,Video url
"Wake Up, Get Up, Get Out There",4:38,https://www.youtube.com/watch?v=azNG-AU0eGg
Phantom,2:18,https://www.youtube.com/watch?v=I6vf4lfQazw
脱出,0:54,https://www.youtube.com/watch?v=BYN75fpCPA0
Life Will Change,4:23,https://www.youtube.com/watch?v=dsuJZx24V_A
逃走～逮捕,1:41,https://www.youtube.com/watch?v=6OVmw0MVJHU
尋問室,1:38,https://www.youtube.com/watch?v=0rSj_qz7Hr0
回想～暗示,1:02,https://www.youtube.com/watch?v=4qhaLTt_KT4
全ての人の魂の詩,5:39,https://www.youtube.com/watch?v=duy-ud14aeg
Beneath the Mask -instrumental version-,4:42,https://www.youtube.com/watch?v=w7Cm74nDhac
出会い,0:46,https://www.youtube.com/watch?v=r3gK0qETsRc
異世界へ,1:16,https://www.youtube.com/watch?v=Kj-6Mn9L3iQ
緊迫,2:05,https://www.youtube.com/watch?v=_gyYxXL3D3I
覚醒,1:31,https://www.youtube.com/watch?v=qov0nB24_yQ
Will Power,2:46,https://www.youtube.com/watch?v=Msq4a0d9rCk
王と王妃と奴隷 - another version -,1:44,https://www.youtube.com/watch?v=u4izKJsmXLA
王と王妃と奴隷,2:00,https://www.youtube.com/watch?v=_LHvBZtamGA
A Ronin Mode Tribute to Persona 5 Last Surprise HQ Remastered,4:01,https://www.youtube.com/watch?v=POw01JLdzoU
Talk,1:00,https://www.youtube.com/watch?v=c4rqD8BysHI
勝利,1:10,https://www.youtube.com/watch?v=b0mrojS2WBM
Tokyo Emergency,2:35,https://www.youtube.com/watch?v=k8OFhyalA1s
告白/秘密,2:32,https://www.youtube.com/watch?v=ibsj9WX80zI
告白/秘密 -piano version-,1:07,https://www.youtube.com/watch?v=kheC1aM1lKo
Layer Cake,2:28,https://www.youtube.com/watch?v=C4nTv-pVk0k
Life Will Change -instrumental version-,2:31,https://www.youtube.com/watch?v=wPaCgNDwqqs
Blood of Villain,1:50,https://www.youtube.com/watch?v=8XGYNz685Ng
Blooming Villain,4:08,https://www.youtube.com/watch?v=6aShp3H7xiU
Regret,2:48,https://www.youtube.com/watch?v=C9ad-dc4d-Q
色欲の崩壊,0:57,https://www.youtube.com/watch?v=0TUp5E3SV4s
A Ronin Mode Tribute to Persona 5 Beneath the Mask HQ Remastered,4:46,https://www.youtube.com/watch?v=78x_XpUA78w
終わらない日々,0:45,https://www.youtube.com/watch?v=kJS2mf_zBf8
スターフォルネウス,0:41,https://www.youtube.com/watch?v=RffXLinA_jI
パンチdeアウチ,1:00,https://www.youtube.com/watch?v=-b89LgAAuO0
垢太郎鉄道,0:45,https://www.youtube.com/watch?v=-BJ8zfoNt6Y
豪血寺一味,0:33,https://www.youtube.com/watch?v=KlieBTEOUKg
はったれ五右衛門,0:48,https://www.youtube.com/watch?v=Keo2EbCvkuE
プロゴルファー猿田彦,0:46,https://www.youtube.com/watch?v=qcnt_JEtwgg
Tokyo Daylight,2:05,https://www.youtube.com/watch?v=GTesXj_27EE
Butterfly Kiss,2:28,https://www.youtube.com/watch?v=U7OuHvwo62Y
メメントス,1:40,https://www.youtube.com/watch?v=l_Jkz_ZC9Yc
Have a Short Rest,2:12,https://www.youtube.com/watch?v=W0ipWoT2Els
Suspicious Person,0:22,https://www.youtube.com/watch?v=M6vU7jSYaPY
My Homie,2:09,https://www.youtube.com/watch?v=nuq-Zyqigic
Wicked Plan,2:26,https://www.youtube.com/watch?v=zFvDCu_ZW_4
A Woman,2:12,https://www.youtube.com/watch?v=RcpVVwjqEtA
A Woman -another version-,1:36,https://www.youtube.com/watch?v=6ZHtNIvfzhg
Sunset Bridge,1:41,https://www.youtube.com/watch?v=-1VKJB3GAD0
Days of Sisters,2:10,https://www.youtube.com/watch?v=0A8Up2VNQIE
Beneath the Mask -rain-,4:39,https://www.youtube.com/watch?v=U2Qd9TRY1Ro
BAR にゅぅカマー,0:55,https://www.youtube.com/watch?v=Wz1XGQ42Eu8
疑惑,2:30,https://www.youtube.com/watch?v=n5f5018tK8I
High Pressure,1:37,https://www.youtube.com/watch?v=hPQSv4GNK5Y
Price,1:50,https://www.youtube.com/watch?v=yG-_Zn648fw
Price -another version-,1:39,https://www.youtube.com/watch?v=UIgvWSPD4Yk
Keeper of Lust,4:02,https://www.youtube.com/watch?v=QKunUv9-p6U
Life Goes On,2:32,https://www.youtube.com/watch?v=CgxbVc4SiI4
夏の日の思い出,1:02,https://www.youtube.com/watch?v=x4IAqdXs-zU
灼熱の砂漠を往く,1:23,https://www.youtube.com/watch?v=nCu8J2boWIk
母のいた日々 -another version-,1:51,https://www.youtube.com/watch?v=9lSu-wLPBNQ
母のいた日々,4:00,https://www.youtube.com/watch?v=-gWGNqGDAyA
Alleycat,4:11,https://www.youtube.com/watch?v=T-D-KzkSQEE
憤怒の崩壊,0:55,https://www.youtube.com/watch?v=dng7eh0o5KE
Alright -elp version-,1:31,https://www.youtube.com/watch?v=0NgiyASj6qs
New Beginning,3:08,https://www.youtube.com/watch?v=D-sGM_TaPg4
Hawaii,0:58,https://www.youtube.com/watch?v=FLtfHWgRHDM
Alright,1:32,https://www.youtube.com/watch?v=E0tbxhHM1t8
Break it Down -elp version-,1:44,https://www.youtube.com/watch?v=q4xe4maIqmQ
The Spirit,1:25,https://www.youtube.com/watch?v=XSGWKQVFWtM
