Title,Duration,Video url
Game Freak Logo ,0:13,https://www.youtube.com/watch?v=Yi8XiyBTOso
Opening Movie ,0:17,https://www.youtube.com/watch?v=ggKVs_YoCwk
Title Screen ,1:38,https://www.youtube.com/watch?v=4C5hctRuW-E
Game Tutorial ,0:44,https://www.youtube.com/watch?v=-Ynpl0ZCR4Y
Welcome to the World of Pokémon! ,1:06,https://www.youtube.com/watch?v=6KsEwhsknQs
Pallet Town Theme ,1:36,https://www.youtube.com/watch?v=7lokJiY5Xgo
Professor Oak ,0:49,https://www.youtube.com/watch?v=6ErFVRJT6xM
Professor Oak's Laboratory ,0:49,https://www.youtube.com/watch?v=6qmQ5A1qcSU
Fanfare: Pokémon Obtained ,0:08,https://www.youtube.com/watch?v=1i9sLHbnyBk
A Rival Appears ,0:49,https://www.youtube.com/watch?v=kWmOqWKtFVs
Battle! (Trainer Battle) ,3:14,https://www.youtube.com/watch?v=as5EhE9f14o
Victory! (Trainer Battle) ,0:43,https://www.youtube.com/watch?v=SjDQZpPcsr4
Road to Viridian City: Leaving Pallet Town ,0:57,https://www.youtube.com/watch?v=diUuWIYZKRM
Fanfare: Item Obtained (Version 1) ,0:07,https://www.youtube.com/watch?v=UB4ytiTbtqo
Pewter City Theme ,2:08,https://www.youtube.com/watch?v=8Brs-8FuUB4
Teachy TV Menu ,0:19,https://www.youtube.com/watch?v=glNVGElaU0M
Viridian Forest ,2:47,https://www.youtube.com/watch?v=7APvUqU5eZA
Battle! (Wild Pokémon) ,1:33,https://www.youtube.com/watch?v=HYK9U-yxW1U
Victory! (Wild Pokémon) ,0:38,https://www.youtube.com/watch?v=k9sswzOSZDI
A Trainer Appears (Boy Version) ,0:32,https://www.youtube.com/watch?v=ttlkcregoKE
Pokémon Center ,1:14,https://www.youtube.com/watch?v=n6sgyINH57k
Jigglypuff's Song ,0:13,https://www.youtube.com/watch?v=oGfs2Qjz7ig
Pokémon Healed ,0:08,https://www.youtube.com/watch?v=0XoQcws9ALQ
Guide ,0:35,https://www.youtube.com/watch?v=KV1Qw8O2CMs
Pokémon Gym ,1:17,https://www.youtube.com/watch?v=BegGMTNhxOM
Tense Battle! ,0:29,https://www.youtube.com/watch?v=O9lANbREkYA
Battle! (Gym Leader Battle) ,2:07,https://www.youtube.com/watch?v=1XN9bXOGcR8
Victory! (Gym Leader Battle) ,1:02,https://www.youtube.com/watch?v=vLLNeQyzLak
Fanfare: Badge Obtained ,0:11,https://www.youtube.com/watch?v=TpK2GTh79dU
Evolution ,0:35,https://www.youtube.com/watch?v=MeU5Ip7uNmI
Fanfare: Evolution ,0:09,https://www.youtube.com/watch?v=sGJkNOdeINE
Road to Cerulean City: Leaving Mt. Moon ,1:14,https://www.youtube.com/watch?v=6tmlv1RrznU
A Trainer Appears (Girl Version) ,0:28,https://www.youtube.com/watch?v=SKMbD1oI5h4
Caves of Mt. Moon ,2:45,https://www.youtube.com/watch?v=nbO1GcbA4X0
