Title,Duration,Video url
 Mysterious Swamps (Track 01),3:02,https://www.youtube.com/watch?v=y_mIwnn0jd0
 Medieval Theme (Track 02),2:04,https://www.youtube.com/watch?v=U-Z8X1mWlto
 Babel Tower (Track 03),2:55,https://www.youtube.com/watch?v=K2J__99HJW0
 Storming the Castle (Track 04),2:46,https://www.youtube.com/watch?v=rXSHIyZBcD8
 The Fortified Castle (Track 05),1:34,https://www.youtube.com/watch?v=egsRCZ_NGnE
 Castle Invaded (Track 06),1:09,https://www.youtube.com/watch?v=_ExO6qHtLb4
 Medieval Dragon (Track 07),3:00,https://www.youtube.com/watch?v=vAVrRvaVYfA
 The Swamp Whistler (Track 08),1:41,https://www.youtube.com/watch?v=jHUsRiJGsdA
 Flight & Whirl (Track 09),1:45,https://www.youtube.com/watch?v=pK728yT17JA
 Lost in the Clouds (Track 10),2:09,https://www.youtube.com/watch?v=delftvs5Gdo
 Trip to the Jungle (Track 11),2:37,https://www.youtube.com/watch?v=FSBELomq1Eo
 Moving Ground (Track 12),1:38,https://www.youtube.com/watch?v=ay4J5_B-7vA
 Enchanted Forest (Track 13),1:50,https://www.youtube.com/watch?v=q6H1h8skddc
 Enchanted Forest Pursuit (Track 14),1:53,https://www.youtube.com/watch?v=8uzW8x_9DHE
 Secret Door (Track 15),1:34,https://www.youtube.com/watch?v=WcRYPo5hRdE
 The Adventure Begins (Track 16),2:58,https://www.youtube.com/watch?v=wrRjuMgzmFg
 Orchestral Chaos (Track 17),1:30,https://www.youtube.com/watch?v=Np0XmR4w320
 Forest Invaded (Track 18),1:02,https://www.youtube.com/watch?v=IVp2c_PfvBc
 The Mushroom Whistler (Track 19),2:31,https://www.youtube.com/watch?v=mgR98mUCrmg
 Mambo Mambo (Track 20),1:36,https://www.youtube.com/watch?v=1wN-EktdLAs
 Fiesta de los Muertos (Track 21),4:38,https://www.youtube.com/watch?v=fvvB6u5gTAo
 Food Invaded (Track 22),1:39,https://www.youtube.com/watch?v=OGABUf4xtZA
 Luchador (Track 23),2:36,https://www.youtube.com/watch?v=F6uywSnurdE
 The Chef Whistler (Track 24),2:07,https://www.youtube.com/watch?v=veDRG2HS8Fo
" 20,000 Lums Under the Sea (Track 25)",5:11,https://www.youtube.com/watch?v=TOAo7_UqxXs
 Dive Another Day (Track 26),3:48,https://www.youtube.com/watch?v=uqD8atxeg18
 Toadfinger (Track 27),2:54,https://www.youtube.com/watch?v=l-qpnmmu7o4
 The Spy Who Kicked Me (Track 28),3:43,https://www.youtube.com/watch?v=pSva5sZvshI
 Infernal Pursuit (Track 29),1:27,https://www.youtube.com/watch?v=4F6ex0G0Lwo
 Ocean Invaded (Track 30),1:04,https://www.youtube.com/watch?v=jdgEw7hpVDE
 Mechanical Dragon (Track 31),1:59,https://www.youtube.com/watch?v=jH4Teb5Rvzg
 When the Wind Blows (Track 32),1:25,https://www.youtube.com/watch?v=UMstAv1nSBc
 Shield and Sirtaki (Track 33),2:18,https://www.youtube.com/watch?v=1bdqSO9ckNM
 Hades' Abode (Track 34),1:07,https://www.youtube.com/watch?v=rRTyra75IrY
 Dark Creature Pursuit (Track 35),1:57,https://www.youtube.com/watch?v=n-d-T4mt7U4
 Hell's Gate (Track 36),1:04,https://www.youtube.com/watch?v=jL4pRWAWpqs
 Strategy and Spying (Track 37),2:28,https://www.youtube.com/watch?v=g9Ir66w4mFE
 Missile Airlines (Track 38),1:31,https://www.youtube.com/watch?v=SNSMk0BcsQA
 Olympus Maximus Invaded (Track 39),1:04,https://www.youtube.com/watch?v=RKbI16iEGAs
 Hades' Hand (Track 40),1:07,https://www.youtube.com/watch?v=W8Gyou7Sa1A
 One-Eyed Harpist (Track 41),1:20,https://www.youtube.com/watch?v=Qzfxz8Ncetk
 Shaolin Challenge (Track 42),1:48,https://www.youtube.com/watch?v=S7wylzddUN8
 Grannies World Tour (Track 43),1:36,https://www.youtube.com/watch?v=kD2salaVNzQ
 Another World (Track 44),1:28,https://www.youtube.com/watch?v=R_7-CTPFWME
 Rayman Theme (8 Bit Version) (Track 45),2:10,https://www.youtube.com/watch?v=EKEBdZqOF4M
 Orchestral Chaos (8 Bit Version) (Track 46),1:26,https://www.youtube.com/watch?v=gB8PpptiF50
 Grannies World Tour (8 Bit Version) (Track 47),1:36,https://www.youtube.com/watch?v=PO2POF5BsIs
