Title,Duration,Video url
 Title Screen,3:33,https://www.youtube.com/watch?v=YvFRWKklC6c
 Aristans Homeworld,1:54,https://www.youtube.com/watch?v=glkPyEeVzwc
 Stone Hill,2:11,https://www.youtube.com/watch?v=7TXNx-pMiAE
 Dark Hollow,4:12,https://www.youtube.com/watch?v=JhqNfvJLEss
 Town Square,3:56,https://www.youtube.com/watch?v=jrucgmML3ck
 Sunny Flight,2:32,https://www.youtube.com/watch?v=I76GV2bTcHI
 Toasty / Gnorc Cove,4:16,https://www.youtube.com/watch?v=THWsz93mfLM
 Peace Keepers Homeworld,3:15,https://www.youtube.com/watch?v=oXZ9QyEGkcc
 Dry Canyon,2:25,https://www.youtube.com/watch?v=SnRvn-euwTY
 Cliff Town,3:59,https://www.youtube.com/watch?v=pdIEkU3zB4A
 Ice Carven,3:08,https://www.youtube.com/watch?v=ZoIgMfMfkgY
 Night Flight,3:04,https://www.youtube.com/watch?v=YT_7gQiEEvg
 Doctor Shemp,2:45,https://www.youtube.com/watch?v=tlS778H5ldg
 Magic Crafters Homeworld,4:11,https://www.youtube.com/watch?v=M6k9Lm14N_0
 Alpine Ridge,3:36,https://www.youtube.com/watch?v=JAqo0g74zUs
 Alpine Ridge (Alternate),3:34,https://www.youtube.com/watch?v=2Q6BPtllRq4
 High Caves,3:23,https://www.youtube.com/watch?v=tOvr3SsetIU
 High Caves (PAL),3:55,https://www.youtube.com/watch?v=eQQcfSwdVPs
 High Caves (PAL Alternate),3:15,https://www.youtube.com/watch?v=Ytu-_AaXrIo
 Crystal Flight,3:18,https://www.youtube.com/watch?v=6nKbWtKMGFg
 Wizard Peak,2:54,https://www.youtube.com/watch?v=XuxVl-VRgfY
 Wizard Peak (Alternate),3:43,https://www.youtube.com/watch?v=_aWoR31J57E
 Blowhard,3:12,https://www.youtube.com/watch?v=SF5IyDzJZJE
 Blowhard (Alternate),3:29,https://www.youtube.com/watch?v=6dGhX3n48j4
 Beast Makers Homeworld,3:12,https://www.youtube.com/watch?v=3KI5kjPMock
 Beast Makers Homeworld (Alternate),3:15,https://www.youtube.com/watch?v=Dr1Us0Hd9Rs
 Terrace Village,2:44,https://www.youtube.com/watch?v=46_WBduNAZc
 Misty Bog,3:34,https://www.youtube.com/watch?v=2_OxqtvL-MA
 Tree Tops,4:04,https://www.youtube.com/watch?v=D7eLjIMEQ_s
 Wild Flight,2:07,https://www.youtube.com/watch?v=BsJ2eWVQH_g
 Metalhead,3:45,https://www.youtube.com/watch?v=MCGbqPBhGVM
 Metalhead (Alternate),2:42,https://www.youtube.com/watch?v=6gQd-Mp4HFc
 Dream Weavers Homeworld,4:38,https://www.youtube.com/watch?v=3Ed7s82fprE
 Dark Passage,3:05,https://www.youtube.com/watch?v=RhtRZdbAGAg
 Lofty Castle,3:12,https://www.youtube.com/watch?v=aoCcCDuyJhs
 Haunted Towers,2:29,https://www.youtube.com/watch?v=4TGOimRwUDk
 Icy Flight,2:56,https://www.youtube.com/watch?v=vyULYZ2Xc2c
 Icy Flight (Alternate),3:04,https://www.youtube.com/watch?v=M72wItn2tZA
 Jaques,3:58,https://www.youtube.com/watch?v=mbv4IThbwrw
 Jaques (Alternate),3:14,https://www.youtube.com/watch?v=Hzc24cD-uGE
 Gnorc Gnexus,4:16,https://www.youtube.com/watch?v=mi0PrZmdx_g
 Twilight Harbor,3:48,https://www.youtube.com/watch?v=fGHXeqfOm-s
 Gnasty Gnorc,3:53,https://www.youtube.com/watch?v=ggEVkvFhNUc
 Gnasty's Loot,3:25,https://www.youtube.com/watch?v=LL0dUP_WOvE
 End Credits,4:08,https://www.youtube.com/watch?v=5g4aQTD98U8
 Unknown Track 1,2:31,https://www.youtube.com/watch?v=LERtl2_byXY
 Unknown Track 2,3:29,https://www.youtube.com/watch?v=KOcSFiF2nA8
 Summer Forest,2:28,https://www.youtube.com/watch?v=JSDOCaUhDHA
 Gateway to Glimmer Forest,3:20,https://www.youtube.com/watch?v=PEM-pYocKnI
 Idol Springs,3:32,https://www.youtube.com/watch?v=QtQQi0pMh5Q
 Colossus,3:36,https://www.youtube.com/watch?v=-AiVIRplYSs
 Let's Play Hockey!,2:00,https://www.youtube.com/watch?v=il8bG_6I5ss
 Hurricos,3:12,https://www.youtube.com/watch?v=fetkAVhvFDo
 Sunny Beach,2:43,https://www.youtube.com/watch?v=T1YN3XkA9UU
 Aquaria Towers,2:44,https://www.youtube.com/watch?v=3F9ZZwAqej0
 Ocean Speedway,3:45,https://www.youtube.com/watch?v=uYLNTtH1Q1M
 Clash with Crush!,2:06,https://www.youtube.com/watch?v=n0R01VH4oZY
 Autumn Plains,2:29,https://www.youtube.com/watch?v=Om7iu271kxk
 Skelos Badlands,2:24,https://www.youtube.com/watch?v=FqVYNGpUPY4
 Save the Cavemen!,0:34,https://www.youtube.com/watch?v=TVip75QHofA
 Crystal Glacier,3:32,https://www.youtube.com/watch?v=GI6fWqQbDe4
 Crystal Glacier 2,1:19,https://www.youtube.com/watch?v=a7UNhmi1Big
 Breeze Harbor,3:11,https://www.youtube.com/watch?v=8iKrZWq8N10
 Harbor Trolley Trouble!,2:51,https://www.youtube.com/watch?v=9L62p_O3Fi4
 Zephyr,3:42,https://www.youtube.com/watch?v=xVKYvtzhZP8
 Scorch,3:24,https://www.youtube.com/watch?v=BIeMiLFSYng
 Magma Cone,3:25,https://www.youtube.com/watch?v=CbA1dSi5b7U
 Grab the Crystal Popcorn!,1:18,https://www.youtube.com/watch?v=iZc1q_V2NBU
 Shady Oasis,3:58,https://www.youtube.com/watch?v=FgIwcOXEiag
 Metro Speedway,2:30,https://www.youtube.com/watch?v=DqxgRoVL5jg
 Icy Speedway,3:32,https://www.youtube.com/watch?v=GSUiZT4_yLM
 Gulp's Overlook,2:48,https://www.youtube.com/watch?v=NIBKnRnVlbA
 Winter Tundra,2:32,https://www.youtube.com/watch?v=76mpL91XfZY
 Mystic Marsh,3:47,https://www.youtube.com/watch?v=BJkbL6KxkfI
 Cloud Temples,3:04,https://www.youtube.com/watch?v=gEolFl2_9Y8
 Track Agent Zero!,1:59,https://www.youtube.com/watch?v=emA-6ag8-KQ
 Robotica Farms,3:42,https://www.youtube.com/watch?v=n_jQewve_FI
 Metropolis,3:37,https://www.youtube.com/watch?v=BC3J-A8bjlo
 Canyon Speedway,2:56,https://www.youtube.com/watch?v=N3D4j2_0bvI
 Ripto's Arena,2:13,https://www.youtube.com/watch?v=Hj0oQxfrzD8
 Dragon Shores,3:45,https://www.youtube.com/watch?v=YctmDt4gN5I
 Title/Sparx Levels,3:23,https://www.youtube.com/watch?v=QxhcNBJgSxs
 Sunrise Spring Home,2:58,https://www.youtube.com/watch?v=sjSH7psJXuU
 Sunny Villa,3:14,https://www.youtube.com/watch?v=fLvVKLkqRpU
 Sheila's Alp,3:16,https://www.youtube.com/watch?v=N01-j-6x3T0
 Cloud Spires,3:03,https://www.youtube.com/watch?v=Kx0pAGD7t84
 Molten Crater,3:08,https://www.youtube.com/watch?v=_CF5Pzi7dk0
 Seashell Shore,3:44,https://www.youtube.com/watch?v=C0swC9qmyo8
 Mushroom Speedway,3:19,https://www.youtube.com/watch?v=v7XFJqqJNcY
 Buzz's Dungeon,3:10,https://www.youtube.com/watch?v=BBFTjMYaowo
 Midday Gardens Home,2:35,https://www.youtube.com/watch?v=6Q57LeVABGM
 Icy Peak,3:29,https://www.youtube.com/watch?v=hVfNNKdDKr0
 Enchanted Towers/Sgt. Byrd Levels,2:58,https://www.youtube.com/watch?v=-5CuwULiy_s
 Spooky Swamp,2:54,https://www.youtube.com/watch?v=MnUr9OGaT5I
 Bamboo Terrace,3:20,https://www.youtube.com/watch?v=my6kw9WYb_w
 Country Speedway,3:27,https://www.youtube.com/watch?v=ZB1JHa2LODU
 Spike's Arena,2:52,https://www.youtube.com/watch?v=uY6IENeP5dw
 Evening Lake Home,1:37,https://www.youtube.com/watch?v=_8q0tO2kAZU
 Frozen Altars,3:01,https://www.youtube.com/watch?v=YugVp-5y2OU
 Lost Fleet,3:18,https://www.youtube.com/watch?v=60pNj_391CQ
 Fireworks Factory,4:17,https://www.youtube.com/watch?v=9Qo4ZAEaD84
 Charmed Ridge,3:51,https://www.youtube.com/watch?v=BhLzOpchKUg
 Honey Speedway,3:14,https://www.youtube.com/watch?v=Pn8M9IySEUs
 Bentley's Outpost,3:00,https://www.youtube.com/watch?v=JR6c_ztka0o
 Scorch's Pit,2:45,https://www.youtube.com/watch?v=r2eRGCuio0g
 Midnight Mountain Home,3:01,https://www.youtube.com/watch?v=pxal2bK9EHk
 Crystal Islands,3:34,https://www.youtube.com/watch?v=rAc1r7beDdI
 Desert Ruins,3:09,https://www.youtube.com/watch?v=ZOJo5vnK2ZI
 Haunted Tomb,3:48,https://www.youtube.com/watch?v=JrIX2mjV4OI
 Dino Mines,3:40,https://www.youtube.com/watch?v=9ethddS3yOU
 Harbor Speedway,3:07,https://www.youtube.com/watch?v=lhlMmm586xU
 Agent 9's Lab,3:31,https://www.youtube.com/watch?v=nKOle2KuuOg
 Sorceress's Lair,2:10,https://www.youtube.com/watch?v=m7YO8hyyll8
 Super Bonus Round,4:36,https://www.youtube.com/watch?v=sDuWp_1QU-Q
 You Found an Egg!,0:05,https://www.youtube.com/watch?v=7SrgtZYYZKA
 Credits,3:12,https://www.youtube.com/watch?v=WKlV2zwV-x0
