Title,Duration,Video url
Wii Channel ,0:05,https://www.youtube.com/watch?v=HX8oURu-E-o
Overture ,1:17,https://www.youtube.com/watch?v=IJjYlFAFnoA
File Select ,1:28,https://www.youtube.com/watch?v=UvWRz58K8ek
Luma ,1:33,https://www.youtube.com/watch?v=nr-cpmEb7KM
Star Festival ,1:23,https://www.youtube.com/watch?v=yCwV8GTn1BM
Attack of the Airships ,1:44,https://www.youtube.com/watch?v=gWeQGIOXIm4
Catastrophe ,0:55,https://www.youtube.com/watch?v=hqTkEA372AU
Peach's Castle is Stolen ,0:33,https://www.youtube.com/watch?v=UVEOvqTZcoQ
To the Gateway ,3:36,https://www.youtube.com/watch?v=k24bsux2fLk
Into the Galaxy ,1:20,https://www.youtube.com/watch?v=mYrKqBE6bTA
Observation Dome ,1:41,https://www.youtube.com/watch?v=wIBzN1ARAVE
Mission Select ,1:01,https://www.youtube.com/watch?v=cGUe8LlO9TQ
Good Egg Galaxy ,1:59,https://www.youtube.com/watch?v=984xoStqrq0
Pipe Interior ,1:06,https://www.youtube.com/watch?v=RFf6JcGBh7M
Dino Piranha ,1:35,https://www.youtube.com/watch?v=WeCMMAazlBc
Dino Piranha (Fast) ,1:29,https://www.youtube.com/watch?v=MrJDRP6dTvM
Star Chance ,0:56,https://www.youtube.com/watch?v=G5xSU8Pg_Kg
Power Star Get! ,0:08,https://www.youtube.com/watch?v=SwrjGqxjZws
Comet Observatory (1) ,2:04,https://www.youtube.com/watch?v=Zi2Pp-KduVQ
Honeyhive Galaxy ,1:57,https://www.youtube.com/watch?v=3iMD2CZMMzU
Big Bad Bugaboom ,1:39,https://www.youtube.com/watch?v=j_AdS-twaaI
King Kaliente ,1:26,https://www.youtube.com/watch?v=kZ4qZDw6Nuc
King Kaliente (Fast) ,1:17,https://www.youtube.com/watch?v=OkIgC3nKIGY
Toad Brigade ,0:52,https://www.youtube.com/watch?v=WvzAaFnG7R8
Loopdeloop Galaxy ,1:40,https://www.youtube.com/watch?v=EFcHwzkht2c
Bowser Jr. ,2:15,https://www.youtube.com/watch?v=nICDWdPKmUI
Bowser Jr.  (Fast) ,2:05,https://www.youtube.com/watch?v=hxqddobZdg4
Megaleg ,1:46,https://www.youtube.com/watch?v=yLGj9x2jV0M
Megaleg (Fast)  ,1:34,https://www.youtube.com/watch?v=pM-ll7PlaxE
Power to the Observatory ,0:46,https://www.youtube.com/watch?v=_SIV0Ndc8F8
Blue Sky Athletics ,1:11,https://www.youtube.com/watch?v=-VXGWW97VYM
Space Junk Galaxy ,2:18,https://www.youtube.com/watch?v=3Y2T9j9jMPY
Space Fantasy ,2:26,https://www.youtube.com/watch?v=aqQFlkfr-Iw
Battlerock Galaxy ,2:26,https://www.youtube.com/watch?v=B9qLXyX9dIs
Space Athletic ,1:30,https://www.youtube.com/watch?v=_lgvgAYa-Jw
Ball Rolling (1) ,1:32,https://www.youtube.com/watch?v=WRgxzRmvr70
