Title,Duration,Video url
  Main Theme,1:13,https://www.youtube.com/watch?v=PDM2qukzKwg
  Playing With Danger,4:03,https://www.youtube.com/watch?v=llOvd2yGEio
  Rocket Jump Waltz,0:40,https://www.youtube.com/watch?v=kbdtBLD8Lbg
  The Art of War,2:18,https://www.youtube.com/watch?v=2ENmljQAYXI
  Faster Than a Speeding Bullet,1:26,https://www.youtube.com/watch?v=hA9XFzxTTOQ
  Right Behind You,1:42,https://www.youtube.com/watch?v=ciL7OKWSu10
  Petite Chou-Fleur,1:44,https://www.youtube.com/watch?v=j9ydI7Yi4hw
  Intruder Alert,1:54,https://www.youtube.com/watch?v=kNlVo5udnPs
  Intruder Alert (MIDI),1:53,https://www.youtube.com/watch?v=2m5RkbulDdA
  Drunken Pipe Bomb,1:32,https://www.youtube.com/watch?v=rBdQDGGNg8E
  More Gun (Version 1),3:06,https://www.youtube.com/watch?v=6NTfCbfvwM8
  More Gun (Version 2),3:14,https://www.youtube.com/watch?v=0EB9XXP9Pj4
  More Gun (Version 3),3:14,https://www.youtube.com/watch?v=6r44zk-mCV4
  Haunted Fortress 2,1:22,https://www.youtube.com/watch?v=AfjqL0vaBYU
  Your Team Lost,0:11,https://www.youtube.com/watch?v=6AM0etJ3L30
  TF2 Saxxy 2011 Theme,2:08,https://www.youtube.com/watch?v=pW-9JlII3UU
  A Little Heart to Heart,1:34,https://www.youtube.com/watch?v=pGXV1c7VcG0
  MEDIC!,2:35,https://www.youtube.com/watch?v=-6NQx4WRRg0
  Archimedes,4:05,https://www.youtube.com/watch?v=KPHbP-kpxxY
  Dreams of Cruelty,1:06,https://www.youtube.com/watch?v=HdXzlV-t8dw
  The Calm,2:35,https://www.youtube.com/watch?v=A2QpThyVL8s
  ROBOTS!,3:35,https://www.youtube.com/watch?v=vw-WJkJK210
  Upgrade Station,1:01,https://www.youtube.com/watch?v=Q7eJg7hRvqE
  Sandwich Maker,0:44,https://www.youtube.com/watch?v=P6DrQbRaNoc
  Rise of the Living Bread,2:37,https://www.youtube.com/watch?v=cmGSylSh5os
  Dapper Cadaver,1:59,https://www.youtube.com/watch?v=52HVSkAgn0g
  It Hates Me So Much,2:10,https://www.youtube.com/watch?v=MeDI-ahJT04
  Red Bread,2:12,https://www.youtube.com/watch?v=RBRlXsSXzCg
  Seduce Me!,1:20,https://www.youtube.com/watch?v=YojvbhKOxMc
  Stink Lines,1:35,https://www.youtube.com/watch?v=QEq6Wgunn4Q
  Three Days to Live,1:56,https://www.youtube.com/watch?v=0dNh_A34ulk
  Soldier of Dance,1:09,https://www.youtube.com/watch?v=i-7QDCfkaxY
  Misfortune Teller,2:33,https://www.youtube.com/watch?v=9QpmfOLaUcw
  RED Triumphs!,1:37,https://www.youtube.com/watch?v=hzOAUeHjWgA
  BLU Triumphs!,1:38,https://www.youtube.com/watch?v=NhoH3UyiX8o
  Yeti Park,3:01,https://www.youtube.com/watch?v=MgRwFisAu28
  Saxton's Dilemma,1:12,https://www.youtube.com/watch?v=mbchjJX8LSo
  Mercenary Park,1:45,https://www.youtube.com/watch?v=86p3aLits1A
  Saluting the Fallen,1:25,https://www.youtube.com/watch?v=Hk_EZpqPUf8
