Title,Duration,Video url
20/20,4:31,https://www.youtube.com/watch?v=foby6X-TxuY
High Wind,1:21,https://www.youtube.com/watch?v=PI93w1HByHI
Morning Rain,1:01,https://www.youtube.com/watch?v=7fSz0y9Mcp4
Graveyard,1:58,https://www.youtube.com/watch?v=fy_9sPT0w8A
Sandstorm,1:39,https://www.youtube.com/watch?v=izbvhGAzmzw
Ocean Night,1:33,https://www.youtube.com/watch?v=Yn64AUblcPg
Jungle Night,1:36,https://www.youtube.com/watch?v=JMUSOWm5ZCs
Slime Rain,1:23,https://www.youtube.com/watch?v=N5R-HbJOa8M
The Journey Begins,1:25,https://www.youtube.com/watch?v=vjWCxvve-jI
Alt Title,1:36,https://www.youtube.com/watch?v=75yZXyeNMTo
Town Day,2:07,https://www.youtube.com/watch?v=Q3rWh7qd7vk
Space Day,1:24,https://www.youtube.com/watch?v=MGCYHh_Rsvg
Underground Desert,2:02,https://www.youtube.com/watch?v=maI2tOIyW2E
Old One's Army,2:23,https://www.youtube.com/watch?v=JUS0F6pMmOA
Terraria Day Theme Remix,3:33,https://www.youtube.com/watch?v=Rc2wBqUN_VI
Duke Fishron,1:43,https://www.youtube.com/watch?v=azdfcjv32oU
Empress of Light,2:49,https://www.youtube.com/watch?v=_ObcCtgOcHU
Queen Bee,1:28,https://www.youtube.com/watch?v=LRGAtNz_4j8
Desert,1:30,https://www.youtube.com/watch?v=QuybWdpabu8
Town Night,1:57,https://www.youtube.com/watch?v=sNlHjsZNXJ4
Underground Ice,1:25,https://www.youtube.com/watch?v=x4RA4O3nnNg
Journey's End - Credits,2:13,https://www.youtube.com/watch?v=COC_ZANdmGQ
Storm,1:36,https://www.youtube.com/watch?v=DShUHIAY47w
Queen Slime,1:30,https://www.youtube.com/watch?v=W2WYYZzt7WY
Underground Jungle,1:49,https://www.youtube.com/watch?v=YknY_BXr6LA
Shadows of Corruption,3:16,https://www.youtube.com/watch?v=j_JZiGst59w
Celestial Caverns,3:06,https://www.youtube.com/watch?v=1zlmgZd2r20
Behold the Octoeye,2:59,https://www.youtube.com/watch?v=IuyADqMi2TI
Consumed by Darkness,2:54,https://www.youtube.com/watch?v=ryHFPp6R3GA
Postlude - Credits,3:31,https://www.youtube.com/watch?v=w8aEq81OzfI
Fighting the Night,3:04,https://www.youtube.com/watch?v=0OB_lMflrdY
Sky Guardian (feat. Tina Guo),3:16,https://www.youtube.com/watch?v=203Z7pzFBiY
Rage of Taruunk,2:20,https://www.youtube.com/watch?v=2xB9bTqEAg8
Fighting off the Invasion,2:45,https://www.youtube.com/watch?v=380rYol1E4w
Sinkholes of Darkness,2:46,https://www.youtube.com/watch?v=7fFYtnfOdAI
A Sweet Menace,2:56,https://www.youtube.com/watch?v=9jj1eyeap3M
Enter Darkness,2:37,https://www.youtube.com/watch?v=A48CK7KfErQ
