Title,Duration,Video url
 The Trail,2:24,https://www.youtube.com/watch?v=PzKTWObyOqQ
 Eredin King of the Hunt,2:03,https://www.youtube.com/watch?v=HAiBJo-Fyww
 Geralt of Rivia,1:56,https://www.youtube.com/watch?v=eBfl5ZeIzl4
" Wake Up, Ciri",1:09,https://www.youtube.com/watch?v=5XMqPsHbhuM
 Aen Seidhe,2:11,https://www.youtube.com/watch?v=CG1B15WCivc
 After The Storm,1:32,https://www.youtube.com/watch?v=lRin_qjCCPU
 Blood on the Cobblestones,2:03,https://www.youtube.com/watch?v=FOk670_orjw
 City of Intrigues,2:07,https://www.youtube.com/watch?v=42FvH5cpOJ8
 Cloak and Dagger,2:47,https://www.youtube.com/watch?v=VDuJT38qGGM
 Commanding The Fury,1:44,https://www.youtube.com/watch?v=nQZcq0SclYQ
" Drink Up, There's More!",1:37,https://www.youtube.com/watch?v=mVsfc3iN9RM
 Emhyr Var Emreis,2:05,https://www.youtube.com/watch?v=l68-67Q1iwg
 Eyes of the Wolf,2:05,https://www.youtube.com/watch?v=KnZg1pqY2jQ
" Farewell, Old Friend",2:53,https://www.youtube.com/watch?v=bmdINgUABzQ
 Fate Calls,1:59,https://www.youtube.com/watch?v=tZdPhMV__jI
 Forged in Fire,2:04,https://www.youtube.com/watch?v=c36PGUggj5s
 Hunt or Be Hunted,2:26,https://www.youtube.com/watch?v=O6xwFFErffU
 Kaer Morhen,2:36,https://www.youtube.com/watch?v=1-gzogEA6ms
 Merchants of Novigrad,3:10,https://www.youtube.com/watch?v=J_UtlR7ATfk
 King Bran's Final Voyage,2:14,https://www.youtube.com/watch?v=5YZwyHpYBAs
 Ladies of the Woods,1:52,https://www.youtube.com/watch?v=7jRi1O3inK8
 Silver for Monsters,2:21,https://www.youtube.com/watch?v=9gDqIjgCG_4
 Spikeroog,3:07,https://www.youtube.com/watch?v=hV4jTKeLzB0
 The Fields of Ard Skellig,3:09,https://www.youtube.com/watch?v=geT7AULeuaU
 The Hunt is Coming,2:06,https://www.youtube.com/watch?v=2iWJk1VygxQ
 The Hunter's Path,2:53,https://www.youtube.com/watch?v=FprGKVcF5yQ
 The Nightingale,1:40,https://www.youtube.com/watch?v=oMYhCBPeEv0
 The Song of the Sword,2:13,https://www.youtube.com/watch?v=StVIDXcIIl4
 The Vagabond,2:49,https://www.youtube.com/watch?v=rCuOZ7et8W0
" Welcome, Imlerith",2:46,https://www.youtube.com/watch?v=ZK7m60jR4Vw
 Whispers of Oxenfurt,2:35,https://www.youtube.com/watch?v=LIX2WElPcvQ
 Widow Maker,2:11,https://www.youtube.com/watch?v=cAPpHf1_M5E
 Witch Hunters,2:41,https://www.youtube.com/watch?v=OQLBkhgd1gM
" Yes, I Do",1:34,https://www.youtube.com/watch?v=8A6FHGus7iA
 Steel For Humans,1:28,https://www.youtube.com/watch?v=qUlhwWOOCj4
