Title,Duration,Video url
001. Once Upon a Time     ,1:33,https://www.youtube.com/watch?v=0AQMAth2gio
002. Start Menu     ,0:37,https://www.youtube.com/watch?v=5BrJzFtOnwo
003. Your Best Friend     ,0:28,https://www.youtube.com/watch?v=MacoenOy9Ss
004. Fallen Down     ,1:03,https://www.youtube.com/watch?v=3t-6qAQH_bQ
005. Ruins     ,1:37,https://www.youtube.com/watch?v=oHZDWwW6iXs
006. Uwa!! So Temperate♫     ,1:02,https://www.youtube.com/watch?v=wvT8KrI1nvo
007. Anticipation     ,0:26,https://www.youtube.com/watch?v=kft3ZUYNiwE
008. Unnecessary Tension     ,0:21,https://www.youtube.com/watch?v=gEgy7xzAYZY
009. Enemy Approaching     ,1:01,https://www.youtube.com/watch?v=g6cK5c_59YQ
010. Ghost Fight     ,1:01,https://www.youtube.com/watch?v=C_5enfN8V8w
011. Determination     ,0:55,https://www.youtube.com/watch?v=sRLQnlglfrI
012. Home     ,2:08,https://www.youtube.com/watch?v=0UkRqMFMZic
013. Home (Music Box)     ,2:08,https://www.youtube.com/watch?v=vC1GAZ62NPg
014. Heartache     ,1:52,https://www.youtube.com/watch?v=mNWArmA5wMw
015. sans.     ,0:54,https://www.youtube.com/watch?v=9cGrP9w5E7M
016. Nyeh Heh Heh!     ,0:37,https://www.youtube.com/watch?v=T6f1jYcjR_8
017. Snowy     ,1:49,https://www.youtube.com/watch?v=QZ1Jp-Wg7b0
018. Uwa!! So Holiday♫     ,0:35,https://www.youtube.com/watch?v=ANpMdkf6q7E
019. Dogbass     ,0:07,https://www.youtube.com/watch?v=meUZ2HjwJ0o
020. Mysterious Place     ,0:50,https://www.youtube.com/watch?v=ewxpqe2btu8
021. Dogsong     ,0:43,https://www.youtube.com/watch?v=EWP9Nr7IxUU
022. Snowdin Town     ,1:21,https://www.youtube.com/watch?v=LETChg7kPJo
023. Shop     ,0:56,https://www.youtube.com/watch?v=O6H_zN2fezE
024. Bonetrousle     ,1:02,https://www.youtube.com/watch?v=mLsWDkF_LIc
025. Dating Start!     ,2:02,https://www.youtube.com/watch?v=puwOdeKHAKY
026. Dating Tense!     ,0:31,https://www.youtube.com/watch?v=j0O3RFCzI_A
027. Dating Fight!     ,0:41,https://www.youtube.com/watch?v=e9YJ1D6HbAU
028. Premonition     ,1:06,https://www.youtube.com/watch?v=Yk8EQW0TJ3U
029. Danger Mystery     ,0:22,https://www.youtube.com/watch?v=aeALZoOiDPs
030. Undyne     ,0:51,https://www.youtube.com/watch?v=rBR_IvHe3Xg
031. Waterfall     ,2:12,https://www.youtube.com/watch?v=DVUh7caufKU
032. Run!     ,0:31,https://www.youtube.com/watch?v=XLxNMt-2qMU
033. Quiet Water     ,0:37,https://www.youtube.com/watch?v=4LfRKEovz2Y
034. Memory     ,1:19,https://www.youtube.com/watch?v=rtb0N-JQ79k
035. Bird That Carries You Over A Disproportionately Small Gap     ,0:29,https://www.youtube.com/watch?v=lV28xl-YKw4
036. Dummy!     ,2:30,https://www.youtube.com/watch?v=FbtgN-lqRHA
037. Pathetic House     ,0:44,https://www.youtube.com/watch?v=H8OIvglCJp8
038. Spooktune     ,0:28,https://www.youtube.com/watch?v=lV65zxK61cI
039. Spookwave     ,0:29,https://www.youtube.com/watch?v=DRIOFUDEpLY
040. Ghouliday     ,0:17,https://www.youtube.com/watch?v=J-rPVhWEq18
041. Chill     ,1:01,https://www.youtube.com/watch?v=dASRdXkHmq4
042. Thundersnail     ,0:47,https://www.youtube.com/watch?v=vdlFq3d_Ioc
043. Temmie Village     ,1:02,https://www.youtube.com/watch?v=W_KIzOudAlY
044. Tem Shop     ,0:49,https://www.youtube.com/watch?v=OKJYbjxdHpg
045. NGAHHH!!     ,1:27,https://www.youtube.com/watch?v=IpShDXqs74Q
046. Spear of Justice     ,2:00,https://www.youtube.com/watch?v=XGzYhJcm-Jw
047. Ooo     ,0:19,https://www.youtube.com/watch?v=kfwEtdUyK_4
048. Alphys     ,1:30,https://www.youtube.com/watch?v=gaCaF-MbkzQ
049. It's Showtime!     ,0:50,https://www.youtube.com/watch?v=EviIkV2CmcM
050. Metal Crusher     ,1:08,https://www.youtube.com/watch?v=Lt7pB78SGbY
051. Another Medium     ,2:28,https://www.youtube.com/watch?v=NP4sPRIyHKM
052. Uwa!! So HEATS!!♫     ,0:39,https://www.youtube.com/watch?v=JPXAXHlcXFs
053. Stronger Monsters     ,1:07,https://www.youtube.com/watch?v=lEbHopRL0OA
054. Hotel     ,1:33,https://www.youtube.com/watch?v=k0SGqISmlm0
"055. Can You Really Call This A Hotel, I Didn't Receive A Mint On My Pillow Or Anything",1:06,https://www.youtube.com/watch?v=tgqTM8-SDFA
056. Confession     ,0:47,https://www.youtube.com/watch?v=t2t9zqeWrMk
057. Live Report     ,0:23,https://www.youtube.com/watch?v=q8euQaH92vE
058. Death Report     ,0:51,https://www.youtube.com/watch?v=JBJQ1FxfydU
059. Spider Dance     ,1:51,https://www.youtube.com/watch?v=5qZqqUgb1Rw
060. Wrong Enemy !?     ,1:03,https://www.youtube.com/watch?v=u78i4ZejBV4
061. Oh! One True Love     ,1:28,https://www.youtube.com/watch?v=05hl_0yth-g
062. Oh! Dungeon     ,0:37,https://www.youtube.com/watch?v=X4Dhvns8BnU
063. It's Raining Somewhere Else     ,2:54,https://www.youtube.com/watch?v=KtC-pl9P3kE
064. CORE Approach     ,0:17,https://www.youtube.com/watch?v=jN6xoSmfA8E
065. CORE     ,2:52,https://www.youtube.com/watch?v=SEOYyM9n9mw
066. Last Episode!     ,0:08,https://www.youtube.com/watch?v=1ZeK_DkVh8I
067. Oh My...     ,0:19,https://www.youtube.com/watch?v=TKIjOMKauTg
068. Death By Glamour     ,2:19,https://www.youtube.com/watch?v=qeDIZCc6Cyo
069. For The Fans     ,1:52,https://www.youtube.com/watch?v=HW8nh_oSCgg
070. Long Elevator     ,0:25,https://www.youtube.com/watch?v=k2hc180DxXQ
071. Undertale     ,6:26,https://www.youtube.com/watch?v=1HIKNbnV8nw
072. Song That Might Play When You Fight Sans     ,1:07,https://www.youtube.com/watch?v=x6OUm-HSeFQ
073. The Choice     ,2:18,https://www.youtube.com/watch?v=RWl8o-znLck
074. Small Shock     ,0:19,https://www.youtube.com/watch?v=I5MW-xF1Kec
075. Barrier     ,0:35,https://www.youtube.com/watch?v=r4NYGRzIItU
076. Bergentrückung     ,0:25,https://www.youtube.com/watch?v=AhnAielizjs
077. ASGORE     ,2:41,https://www.youtube.com/watch?v=42kI2lT0x6U
078. You Idiot     ,0:39,https://www.youtube.com/watch?v=MJE21c--duY
079. Your Best Nightmare     ,4:05,https://www.youtube.com/watch?v=DxxLzJDARbo
080. Finale     ,1:56,https://www.youtube.com/watch?v=CANW8s9Lt4g
081. An Ending     ,3:33,https://www.youtube.com/watch?v=9g6V67JzAHY
082. She's Playing Piano     ,0:23,https://www.youtube.com/watch?v=raVKWF_Ifas
083. Here We Are     ,2:11,https://www.youtube.com/watch?v=52olsp3GUqY
084. Amalgam     ,1:25,https://www.youtube.com/watch?v=p6qO-ONYEkg
085. Fallen Down (Reprise)     ,2:36,https://www.youtube.com/watch?v=qG5ZjezxIck
086. Don't Give Up     ,2:07,https://www.youtube.com/watch?v=rpYoFaphxqQ
087. Hopes And Dreams     ,3:05,https://www.youtube.com/watch?v=wbO3p7_Mf30
088. Burn In Despair!     ,0:27,https://www.youtube.com/watch?v=HAnJX4uudqY
089. SAVE The World     ,1:58,https://www.youtube.com/watch?v=OEs6SGTkXMo
090. His Theme     ,2:10,https://www.youtube.com/watch?v=pMXxxFeZAPg
091. Final Power     ,0:23,https://www.youtube.com/watch?v=6cVdl02AW_U
092. Reunited     ,4:49,https://www.youtube.com/watch?v=VUaeXgFlFFY
093. Menu (Full)     ,0:37,https://www.youtube.com/watch?v=_Rj24hkBkfw
094. Respite     ,1:59,https://www.youtube.com/watch?v=1Tn1hbCXmD8
"095. Bring It In, Guys!     ",4:17,https://www.youtube.com/watch?v=qOQz2gfWGaw
096. Last Goodbye     ,2:19,https://www.youtube.com/watch?v=oiaO05_ImsA
097. But The Earth Refused To Die     ,0:39,https://www.youtube.com/watch?v=b8ABGEr8oHs
098. Battle Against A True Hero     ,2:41,https://www.youtube.com/watch?v=xV4pZgTe94E
"099. Power Of ""NEO""     ",0:35,https://www.youtube.com/watch?v=ZXG66exDoho
100. MEGALOVANIA     ,2:41,https://www.youtube.com/watch?v=KK3KXAECte4
101. Good Night     ,0:35,https://www.youtube.com/watch?v=9ZhG4XIqz9w
