Title,Duration,Video url
 Umapyoi Densetsu Ft Oguri Cap,2:18,https://www.youtube.com/watch?v=8wmmQ6klKVw
 ウマすぎ！グルメパレード Ft. Oguri Cap,2:28,https://www.youtube.com/watch?v=MJoJ3U5fDaE
 UMA Summer 3.5 Anni Special,2:24,https://www.youtube.com/watch?v=vRxYz_7hnMc
 爆熱マイソウル Ft. Duramente,2:14,https://www.youtube.com/watch?v=vEmSn8-ngM4
 ライブ動画 「U.M.A. NEW WORLD!!」,2:37,https://www.youtube.com/watch?v=TAfFo1tbgFM
 ソシテミンナノ Ft. Kitasan Black,2:26,https://www.youtube.com/watch?v=lThn5M1xMF4
 トレセン音頭 Ft. Inari One,2:25,https://www.youtube.com/watch?v=gBF96rAPnQ8
 L'Arc de gloire Ft. Gold Ship,2:27,https://www.youtube.com/watch?v=cUoP0F-gxoI
 L'Arc de gloire Ft. El Condor Pasa,2:26,https://www.youtube.com/watch?v=gcjT-q8DX6o
 トレセン音頭 Ft Narita Top Road,2:26,https://www.youtube.com/watch?v=X_cwqKXmNSU
 Glorious Moment ! Ft. T.M Opera O,2:03,https://www.youtube.com/watch?v=lzVwSJa3XvA
 Make Debut! Ft Neo Universe,2:22,https://www.youtube.com/watch?v=Fh2LFnuF0qY
 Yume Wo Kakeru Ft.Twin Turbo,2:36,https://www.youtube.com/watch?v=ow1-5M7IpGM
 winning the soul Ft. Mr. C.B.,2:23,https://www.youtube.com/watch?v=EYDofFfmkbo
 DRAMATIC JOURNEY Ft. Symboli Rudolf,2:51,https://www.youtube.com/watch?v=2C60mk0KR4Q
 2nd Anniversary Special - DRAMATIC JOURNEY,2:51,https://www.youtube.com/watch?v=745KHVoXoR8
 Everlasting BEATS Ft. Satono Diamond,2:22,https://www.youtube.com/watch?v=z6D1yO-b0-4
 Ms. VICTORIA Ft. Gold Ship,2:49,https://www.youtube.com/watch?v=10YgOGrDCF8
 Overrunner!,2:31,https://www.youtube.com/watch?v=gfgd-P9A5y0
 KIRARI MAGIC SHOW,2:45,https://www.youtube.com/watch?v=a-ZqxXl95xw
 Ms. VICTORIA Ft. Manhattan Cafe,2:49,https://www.youtube.com/watch?v=5KsBge1MjEM
 Ms. VICTORIA Ft. Oguri Cap,2:49,https://www.youtube.com/watch?v=kx7ff3Y-hV4
 Gaze on Me! Ft. Maruzensky,2:40,https://www.youtube.com/watch?v=a9KD0qEgdi8
 Gaze on Me! Ft. Symboli Rudolf,2:40,https://www.youtube.com/watch?v=g9RRsKQEvjM
 GIRLS' LEGEND U Grand Live ver. Ft. Tamamo Cross,3:10,https://www.youtube.com/watch?v=4AOVd159qjo
 Gaze on Me! Ft. Copano Rickey,2:40,https://www.youtube.com/watch?v=w0UwZha-htg
 GIRLS' LEGEND U Short ver. Ft. Tokai Teio,1:48,https://www.youtube.com/watch?v=zFzFSt0u7v4
 Make Debut! Ft. Copano Rickey,2:21,https://www.youtube.com/watch?v=_XzP2acbtbc
 笑顔の宝物 - Beyond The Future ! -,2:43,https://www.youtube.com/watch?v=qt-nQL992OY
Uma Musume Concerts- ENDLESS DREAM!! Ft. ???,2:09,https://www.youtube.com/watch?v=KYLAqdzDsvE
Uma Musume Concerts- We are DREAMERS!! Ft. Teio/Rudolf,2:34,https://www.youtube.com/watch?v=IWc8STmpJ84
 彩 Phantasia Ft. Kawakami Princess,2:19,https://www.youtube.com/watch?v=d4SV3QzH04M
 NEXT FRONTIER Ft. Special Week,2:21,https://www.youtube.com/watch?v=3pmFWNKGLPM
