Title,Duration,Video url
Xenoblade II - Where It All Began ,1:21,https://www.youtube.com/watch?v=u0AwydrUM68
"Elysium, in the Blue Sky ",1:46,https://www.youtube.com/watch?v=udQFFfnR0DA
Argentum ,3:40,https://www.youtube.com/watch?v=2Es--2Hu8tQ
Argentum/Night ,2:58,https://www.youtube.com/watch?v=JETzyfR_jM0
Bana's Theme ,0:30,https://www.youtube.com/watch?v=agEnMNVhdpk
A Ship in a Stormy Sea ,3:33,https://www.youtube.com/watch?v=MsqLYo1xUbs
The Ancient Vessel ,2:59,https://www.youtube.com/watch?v=mWmm4VkFo6Q
Exploration ,2:50,https://www.youtube.com/watch?v=ZXpHyTO8osU
A Portent Crawling Over ,2:45,https://www.youtube.com/watch?v=2oPCdppE7Eo
Elysium in the Dream ,2:50,https://www.youtube.com/watch?v=aOxN57PxOAk
The Awakening ,2:11,https://www.youtube.com/watch?v=tT_onm1G07w
Crossing Swords ,3:38,https://www.youtube.com/watch?v=gDRsu1FbfIo
Incoming! ,4:06,https://www.youtube.com/watch?v=np5UlZ-Ho-4
Gormotti Forest ,3:24,https://www.youtube.com/watch?v=kLcfWb7dK9I
Gormott ,5:17,https://www.youtube.com/watch?v=VgmmL-7byp4
Gormott/Night ,3:22,https://www.youtube.com/watch?v=Wgtw8T5me9E
Battle!! ,3:36,https://www.youtube.com/watch?v=pxhIj0tSLmc
Torigoth ,3:34,https://www.youtube.com/watch?v=7qI7MKfhuHs
Torigoth/Night ,2:40,https://www.youtube.com/watch?v=yoxynA65SbM
Wanted Nia ,2:11,https://www.youtube.com/watch?v=6p4VV3Zot6s
Omens of Life ,1:57,https://www.youtube.com/watch?v=A_--1QTl6jU
Awakened DNA ,1:07,https://www.youtube.com/watch?v=yyWIvshLOJU
A Nopon's Life ,2:22,https://www.youtube.com/watch?v=kdYbUyEA8cs
Tiger! Tiger! ,2:25,https://www.youtube.com/watch?v=3gLhy5GcGr8
A Brewing Storm ,2:33,https://www.youtube.com/watch?v=Wu07OA2CvDQ
Titan Battleship ,4:38,https://www.youtube.com/watch?v=sReJjMdNE2U
Monster Surprised You ,3:15,https://www.youtube.com/watch?v=S299wvRJ1bo
Irritation ,2:42,https://www.youtube.com/watch?v=xu0pxOZvulA
Where We Used To Be ,3:11,https://www.youtube.com/watch?v=7oXmpIZBLzg
