"gameID","title","studio","releaseYear","rating","genre"
"1","Doom","Bethesda","2016","95.5","Action"
"2","Hatsune Miku Project Diva F","Sega","2014","85","Rhythm"
"3","Persona 5","ATLUS","2016","95","JRPG"
"4","Hollow Knight","Team Cherry","2018","90","Metroidvania"
"5","Undertale","Tobyfox","2015","92","JRPG"
"6","Minecraft","Mojang","2011","93","Sandbox"
"7","NieR: Automata","Square Enix","2017","88","Action"
"8","Super Mario Galaxy","Nintendo","2007","97","Platformer"
"9","Pokemon Fire Red","Nintendo","2004","81","RPG"
"10","Final Fantasy VII","SCEA","1997","92","JRPG"
"11","Donkey Kong 64","Nintendo","1999","90","Platformer"
"12","The Legend of Zelda: Breath of the Wild","Nintendo","2017","97","Action"
"13","God of War","Sony Interactive Entertainment","2018","94","Action"
"14","Monster Hunter Rise","Capcom","2021","88","RPG"
"15","The Witcher 3: Wild Hunt","Warner Bros. Interactive Entertainment","2015","92","RPG"
"16","Dark Souls","Namco Bandai Games","2011","89","RPG"
"17","Dark Souls II","Namco Bandai Games","2014","91","RPG"
"18","Dark Souls III","Namco Bandai Games","2016","89","RPG"
"19","Sonic Frontiers","Sega","2022","70","Platformer"
"20","Animal Crossing: New Horizons","Nintendo","2020","90","Virtual Life"
"21","Marvels Spider-Man","Sony Interactive Entertainment","2018","87","Action"
"22","Marvels Spider-Man 2","Sony Interactive Entertainment","2023","90","Action"
"23","Baldurs Gate 3","Larian Studios Games","2023","96","RPG"
"24","Doki Doki Literature Club Plus!","Serenity Forge","2021","85","Visual Novel"
"25","Assassin's Creed II","Ubisoft","2009","90","Action"
"26","Overwatch 2","Blizzard Entertainment","2023","79","FPS"
"29","Devil May Cry 5","Capcom","2019","87","Action"
"30","ARK: Survival Evolved","Studio Wildcard","2017","70","Sandbox"
"31","Lego Universe","Lego Media","2010","70","MMORPG"
"32","Angry Birds: Seasons","Rovio Entertainment","2010","67","Puzzle"
"33","Xenoblade Chronicles 2","Nintendo","2017","83","RPG"
"34","Umamusume: Pretty Derby","Cygames","2021","84","Racing"
"35","Team Fortress 2","Valve Software","2007","92","FPS"
"36","World of Warcraft","Blizzard Entertainment","2004","93","MMORPG"
"37","DELTARUNE","8-4","2018","86","JRPG"
"38","Grand Theft Auto: San Andreeas","Rockstar Games","2004","85","Action"
"39","Terraria","505 Games","2013","83","Sandbox"
"40","Kingdom Hearts","SquareSoft","2002","85","RPG"
"41","Journey","SCEA","2012","92","Platformer"
"42","Kirby and the Forgotten Land","Nintendo","2022","85","Platformer"
"43","Diablo IV","Blizzard Entetainment","2023","86","RPG"
"44","Spyro Reignited Trilogy","Activision","2018","82","Platformer"
"45","Rayman Legends","Ubisoft","2013","92","Platformer"
